ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
0021,Blessing,Blessing,Magic,White,Enchant,Creature,None,Rare,200000,na,na
0022,Blue Elemental Blast,Blue Element Blast,Magic,Blue,Interrupt,na,None,Common,000010,na,na
0023,Blue Ward,Blue Ward,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0024,Bog Wraith,Bog Wraith,Magic,Black,Summon,Wraith,None,Uncommon,000103,3,3
0025,Braingeyser,Braingeyser,Magic,Blue,Sorcery,na,None,Rare,00002x,na,na
0026,Burrowing,Burrowing,Magic,Red,Enchant,Creature,None,Uncommon,001000,na,na
0027,Camouflage,Camouflage,Magic,Green,Instant,na,None,Rare,010000,na,na
0028,Castle,Castle,Magic,White,Enchant,na,None,Uncommon,100003,na,na
0029,Celestial Prism,Celestial Prism,Magic,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0030,Channel,Channel,Magic,Green,Sorcery,na,None,Uncommon,020000,na,na
0031,Chaos Orb,Chaos Orb,Magic,Brown,Artifact,Mono,None,Rare,000002,na,na
0032,Chaoslace ,Chaoslace ,Magic,Red,Interrupt,na,None,Rare,001000,na,na
0033,Circle of Protection Black,Black Circle,Magic,White,Enchant,na,Prevent,Common,100001,na,na
0034,Circle of Protection Blue,Blue Circle,Magic,White,Enchant,na,Prevent,Common,100001,na,na
0035,Circle of Protection Green,Green Circle,Magic,White,Enchant,na,Prevent,Common,100001,na,na
0036,Circle of Protection Red,Red Circle,Magic,White,Enchant,na,Prevent,Common,100001,na,na
0037,Circle of Protection White,White Circle,Magic,White,Enchant,na,Prevent,Common,100001,na,na
0038,Clockwork Beast,Clockwork Beast,Magic,Brown,Artifact,Creature,None,Rare,000006,0,4
0039,Clone,Clone,Magic,Blue,Summon ,Clone,None,Uncommon,000013,x,x
0040,Cockatrice,Cockatrice,Magic,Green,Summon,Cockatrice,None,Rare,020003,2,4
0041,Consecrate Land,Consecrate Land,Magic,White,Enchant,Land,None,Uncommon,100000,na,na
0042,Conservator,Conservator,Magic,Brown,Artifact,Mono,Prevent,Uncommon,000004,na,na
0043,Contract from Below,Contract from Below,Magic,Black,Sorcery,na,None,Rare,000100,na,na
0044,Control Magic ,Control Magic ,Magic,Blue,Enchant,Creature,None,Uncommon,000022,na,na
0045,Conversion,Conversion,Magic ,White ,Enchant,na,None,Uncommon,200002,na,na
0046,Copper Tablet,Copper Tablet,Magic,Brown,Artifact,Continuous,None,Rare,000002,na,na
0047,Copy Artifact,Copy Artifact,Magic,Blue,Enchant,na,None,Rare,000011,na,na
0048,Counterspell,Counterspell,Magic,Blue,Interrupt,na,None,Uncommon,000020,na,na
0049,Craw Wurm,Craw Wurm,Magic,Green,Summon,Wurm,None,Common,020004,6,4
0050,Creature Bond,Creature Bond,Magic,Blue,Enchant,Creature,None,Common,000011,na,na
0051,Crusade,Crusade,Magic ,White,Enchant,na,None,Rare,200000,na,na
0052,Crystal Rod,Crystal Rod,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0053,Cursed Land,Cursed Land,Magic,Black,Enchant,Land,None,Uncommon,000202,na,na
0054,Cyclopean Tomb,Cyclopean Tomb,Magic,Brown,Artifact,Mono,None,Rare,000004,na,na
0055,Dark Ritual,Dark Ritual,Magic,Black,Interrupt,na,None,Common,000100,na,na
0056,Darkpact,Darkpact,Magic,Black,Sorcery,na,None,Rare,000300,na,na
0057,Death Ward,Death Ward,Magic,White,Instant,na,None,Common,100000,na,na
0058,Deathgrip,Deathgrip,Magic,Black,Enchant,na,None,Uncommon,000200,na,na
0059,Deathlace,Deathlace,Magic,Black,Interrupt,na,None,Rare,000100,na,na
0060,Demonic Attorney,Demonic Attorney,Magic,Black,Sorcery,na,None,Rare,000201,na,na
0061,Demonic Hordes,Demonic Hordes,Magic,Black,Summon,Demon,None,Rare,000303,5,5
0062,Demonic Tutor,Demonic Tutor,Magic,Black,Sorcery,na,None,Uncommon,000101,na,na
0063,Dingus Egg,Dingus Egg,Magic,Brown,Artifact,Continuous,None,Rare,000004,na,na
0064,Disenchant,Disenchant,Magic,White,Instant,na,None,Common,100001,na,na
0065,Disintegrate,Disintegrate,Magic,Red,Sorcery,na,None,Common,00100x,na,na
0066,Disrupting Sceptre,Disrupting Sceptre,Magic,Brown,Artifact,Mono,None,Rare,000003,na,na
0067,Dragon Whelp,Dragon Whelp,Magic,Red,Summon,Dragon,None,Uncommon,002002,2,3
0068,Drain Life,Drain Life,Magic,Black,Sorcery,na,None,Common,000101,na,na
0069,Drain Power,Drain Power,Magic,Blue,Sorcery,na,None,Rare,000020,na,na
0070,Drudge Skeletons,Drudge Skeletons,Magic,Black,Summon,Skeletons,None,Common,000101,1,1
0071,Dwarven Demolition Team,Dwarven Sappers,Magic,Red,Summon,Dwarves,None,Uncommon,001002,1,1
0072,Dwarven Warriors,Dwarven Warriors,Magic,Red,Summon,Dwarves,None,Common,001002,1,1
0073,Earth Elemental,Earth Elemental,Magic,Red,Summon,Elemental,None,Uncommon,002003,4,5
0074,Earthbind,Earthbind,Magic,Red,Enchant,Creature,None,Common,001000,na,na
0075,Earthquake,Earthquake,Magic,Red,Sorcery,na,None,Rare,00100x,na,na
0076,Elvish Archers,Elvish Archers,Magic,Green,Summon,Elves,None,Rare,010001,1,1
0077,Evil Presence,Evil Presence,Magic,Black,Enchant,Land,None,Uncommon,000100,na,na
0078,False Orders,False Orders,Magic,Red,Instant,na,None,Common,001000,na,na
0079,Farmstead,Farmstead,Magic,White,Enchant,Land,None,Rare,300000,na,na
0080,Fastbond,Fastbond,Magic,Green,Enchant,na,None,Rare,010000,na,na
0081,Fear ,Fear ,Magic,Black,Enchant,Creature,None,Common,000200,na,na
0082,Feedback,Feedback,Magic,Blue,Enchant,Enchant,None,Uncommon,000012,na,na
0083,Fire Elemental ,Fire Elemental ,Magic,Red,Summon,Elemental,None,Uncommon,002003,5,4
0084,Fireball,Fireball,Magic,Red,Sorcery,na,None,Common,00100x,na,na
0085,Firebreathing,Firebreathing,Magic,Red,Enchant,Creature,None,Common,001000,na,na
0086,Flashfires,Flashfires,Magic,Red,Sorcery,na,None,Uncommon,001003,na,na
0087,Flight,Flight,Magic,Blue,Enchant,Creature,None,Common,000010,na,na
0088,Fog,Fog,Magic,Green,Instant,na,None,Common,010000,na,na
0089,Force of Nature,Force of Nature,Magic,Green,Summon,Force,None,Rare,040002,8,8
0090,Forcefield,Forcefield,Magic,Brown,Artifact,Poly,Prevent,Rare,000003,na,na
0091,Forest,Forest,Magic,Grey,Land,na,None,Common,000000,na,na
0092,Fork,Fork,Magic,Red,Interrupt,na,None,Rare,002000,na,na
0093,Frozen Shade,Frozen Shade,Magic,Black,Summon,Shade,None,Common,000102,0,1
0094,Fungusaur,Fungusaur,Magic,Green,Summon,Fungusaur,None,Rare,010003,2,2
0095,Gaea's Liege,Gaea's Liege,Magic,Green,Summon,Liege,None,Rare,030003,x,x
0096,Gauntlet of Might,Gauntlet of Might,Magic,Brown,Artifact,Continuous,None,Rare,000004,na,na
0097,Giant Growth,Giant Growth,Magic,Green,Instant,na,None,Common,010000,na,na
0098,Giant Spider ,Giant Spider ,Magic,Green,Summon,Spider,None,Common,010003,2,4
0099,Glasses of Urza,Glasses of Urza,Magic,Brown,Artifact,Mono,None,Uncommon,000001,na,na
0100,Gloom,Gloom,Magic,Black,Enchant,na,None,Rare,000102,na,na
0101,Goblin Balloon Brigade,Goblin Balloons,Magic,Red,Summon,Goblins,None,Uncommon,001000,1,1
0102,Goblin King,Goblin King,Magic,Red,Summon,Lord,None,Rare,002001,2,2
0103,Granite Gargoyle,Granite Gargoyle,Magic,Red,Summon,Gargoyle,None,Rare,001002,2,2
0104,Gray Ogre,Gray Ogre,Magic,Red,Summon,Ogre,None,Common,001002,2,2
0105,Green Ward,Green Ward,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0106,Grizzly Bears,Grizzly Bears,Magic,Green,Summon,Bears,None,Common,010001,2,2
0107,Guardian Angel,Guardian Angel,Magic,White,Instant,na,Prevent,Common,10000x,na,na
0108,Healing Salve ,Healing Salve ,Magic,White,Instant,na,Prevent,Common,100000,na,na
0109,Helm of Chatzuk,Helm of Chatzuk,Magic,Brown,Artifact,Mono,None,Rare,000001,na,na
0110,Hill Giant,Hill Giant,Magic,Red,Summon,Giant,None,Common,001003,3,3
0111,Holy Armor,Holy Armor,Magic,White,Enchant,Creature,None,Common,100000,na,na
0112,Holy Strength,Holy Strength,Magic,White,Enchant,Creature,None,Common,100000,na,na
0113,Howl from Beyond,Howl from Beyond,Magic,Black,Instant,na,None,Common,00010x,na,na
0114,Howling Mine,Howling Mine,Magic,Brown,Artifact,Continuous,None,Rare,000002,na,na
0115,Hurloon Minotaur,Hurloon Minotaur,Magic,Red,Summon,Minotaur,None,Common,002001,2,3
0116,Hurricane,Hurricane,Magic,Green,Sorcery,na,None,Uncommon,01000x,na,na
0117,Hypnotic Spectre,Hypnotic Spectre,Magic,Black,Summon,Spectre,None,Uncommon,000201,2,2
0118,Ice Storm,Ice Storm,Magic,Green,Sorcery,na,None,Rare,010002,na,na
0119,Icy Manipulator,Icy Manipulator,Magic,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0120,Illusionary Mask,Illusionary Mask,Magic,Brown,Artifact,Poly,None,Rare,000002,na,na
0121,Instill Energy,Instill Energy,Magic,Green,Enchant,Creature,None,Uncommon,010000,na,na
0122,Invisibility,Invisibility,Magic,Blue,Enchant,Creature,None,Common,000020,na,na
0123,Iron Star,Iron Star,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0124,Ironclaw Orcs,Ironclaw Orcs,Magic,Red,Summon,Orcs,None,Common,001001,2,2
0125,Ironroot Treefolk,Ironroot Treefolk,Magic,Green,Summon,Treefolk,None,Common,010004,3,5
0126,Island,Island,Magic,Grey,Land,na,None,Common,000000,na,na
0127,Island Sanctuary,Island Sanctuary,Magic,White,Enchant,na,None,Rare,100001,na,na
0128,Ivory Cup,Ivory Cup,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0129,Jade Monolith,Jade Monolith,Magic,Brown,Artifact,Poly,Redirect,Rare,000004,na,na
0130,Jade Statue,Jade Statue,Magic,Brown,Artifact,Poly,None,Uncommon,000004,na,na
0131,Jayemdae Tome,Jayemdae Tome,Magic,Brown,Artifact,Mono,None,Rare,000004,na,na
0132,Juggernaut,Juggernaut,Magic,Brown,Artifact,Creature,None,Uncommon,000004,5,3
0133,Jump,Jump,Magic,Blue,Instant,na,None,Common,000010,na,na
0134,Karma,Karma,Magic,White,Enchant,na,None,Uncommon,200002,na,na
0135,Keldon Warlord,Keldon Warlord,Magic,Red,Summon,Lord,None,Uncommon,002002,x,x
0136,Kormus Bell,Kormus Bell,Magic,Brown,Artifact,Continuous,None,Rare,000004,na,na
0137,Kudzu,Kudzu,Magic,Green,Enchant,Land,None,Rare,020001,na,na
0138,Lance ,Lance ,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0139,Ley Druid,Ley Druid,Magic,Green,Summon,Cleric,None,Uncommon,010002,1,1
0140,Library of Leng,Library of Leng,Magic,Brown,Artifact,Continuous,None,Uncommon,000001,na,na
0141,Lich,Lich,Magic,Black,Enchant,na,None,Rare,000400,na,na
0142,Lifeforce,Lifeforce,Magic,Green,Enchant,na,None,Uncommon,020000,na,na
0143,Lifelace,Lifelace,Magic,Green,Interrupt,na,None,Rare,010000,na,na
0144,Lifetap,Lifetap,Magic,Blue,Enchant,na,None,Uncommon,000020,na,na
0145,Lightning Bolt,Lightning Bolt,Magic,Red,Instant,na,None,Common,001000,na,na
0146,Living Artifact,Living Artifact,Magic,Green,Enchant,Artifact,None,Rare,010000,na,na
0147,Living Lands,Living Lands,Magic,Green,Enchant,na,None,Rare,010003,na,na
0148,Living Wall,Living Wall,Magic,Brown,Artifact,Wall,None,Uncommon,000004,0,6
0149,Llanowar Elves,Llanowar Elves,Magic,Green,Summon,Elves,None,Common,010000,1,1
0150,Lord of Atlantis,Lord of Atlantis,Magic,Blue,Summon,Lord,None,Rare,000020,2,2
0151,Lord of the Pit,Lord of the Pit,Magic,Black,Summon,Demon,None,Rare,000304,7,7
0152,Lure,Lure,Magic,Green,Enchant,Creature,None,Uncommon,020001,na,na
0153,Magical Hack,Magical Hack,Magic,Blue,Interrupt,na,None,Rare,000010,na,na
0154,Mahamoti Djinn,Mahamoti Djinn,Magic,Blue,Summon,Djinn,None,Rare,000024,5,6
0155,Mana Flare,Mana Flare,Magic,Red,Enchant,na,None,Rare,001002,na,na
0156,Mana Short,Mana Short,Magic,Blue,Instant,na,None,Rare,000012,na,na
0157,Mana Vault,Mana Vault,Magic,Brown,Artifact,Mono,None,Rare,000001,na,na
0158,Manabarbs,Manabarbs,Magic,Red,Enchant,na,None,Rare,001003,na,na
0159,Meekstone,Meekstone,Magic,Brown,Artifact,Continuous,None,Rare,000001,na,na
0160,Merfolk of the Pearl Trident,Merfolk,Magic,Blue,Summon,Merfolk,None,Common,000010,1,1
0161,Mesa Pegasus,Mesa Pegasus,Magic,White,Summon,Pegasus,None,Common,100001,1,1
0162,Mind Twist,Mind Twist,Magic,Black,Sorcery,na,None,Rare,00010x,na,na
0163,Mons Goblin Raiders,Goblin Raiders,Magic,Red,Summon,Goblins,None,Common,001000,1,1
0164,Mountain,Mountain,Magic,Grey,Land,na,None,Common,000000,na,na
0165,Mox Emerald,Mox Emerald,Magic,Brown ,Artifact,Mono,None,Rare,000000,na,na
0166,Mox Jet,Mox Jet,Magic,Brown ,Artifact,Mono,None,Rare,000000,na,na
0167,Mox Pearl,Mox Pearl,Magic,Brown ,Artifact,Mono,None,Rare,000000,na,na
0168,Mox Ruby ,Mox Ruby ,Magic,Brown ,Artifact,Mono,None,Rare,000000,na,na
0169,Mox Sapphire,Mox Sapphire,Magic,Brown ,Artifact,Mono,None,Rare,000000,na,na
0170,Natural Selection,Natural Selection,Magic,Green,Instant,na,None,Rare,010000,na,na
0171,Nether Shadow,Nether Shadow,Magic,Black,Summon,Shadow,None,Rare,000200,1,1
0172,Nettling Imp,Nettling Imp,Magic,Black,Summon,Imp,None,Uncommon,000102,1,1
0173,Nevinyrral's Disk,Nevinyrral's Disk,Magic,Brown,Artifact,Mono,None,Rare,000004,na,na
0174,Nightmare,Nightmare,Magic,Black,Summon,Nightmare,None,Rare,000105,x,x
0175,Northern Paladin,Northern Paladin,Magic,White,Summon,Paladin,None,Rare,200002,3,3
0176,Obsianus Golem,Obsianus Golem,Magic,Brown,Artifact,Creature,None,Uncommon,000006,4,6
0177,Orcish Artillery,Orcish Artillery,Magic,Red,Summon,Orcs,None,Uncommon,002001,1,3
0178,Orcish Oriflamme,Orcish Oriflamme,Magic,Red,Enchant,na,None,Uncommon,001003,na,na
0179,Paralyze,Paralyze,Magic,Black,Enchant,Creature,None,Common,000100,na,na
0180,Pearled Unicorn,Pearled Unicorn,Magic,White,Summon,Unicorn,None,Common,100002,2,2
0181,Personal Incarnation,Personal Avatar,Magic,White,Summon,Avatar,Redirect,Rare,300003,6,6
0182,Pestilence,Pestilence,Magic,Black,Enchant,na,None,Common,000202,na,na
0183,Phantasmal Forces,Phantasmal Forces,Magic,Blue,Summon,Phantasm,None,Uncommon,000013,4,1
0184,Phantasmal Terrain,Phantasmal Terrain,Magic,Blue,Enchant,Land,None,Common,000020,na,na
0185,Phantom Monster,Phantom Monster,Magic,Blue,Summon,Phantasm,None,Uncommon,000013,3,3
0186,Pirate Ship,Pirate Ship,Magic,Blue,Summon,Ship,None,Rare,000014,4,3
0187,Plague Rats,Plague Rats,Magic,Black,Summon,Rats,None,Common,000102,x,x
0188,Plains,Plains,Magic,Grey,Land,na,None,Common,000000,na,na
0189,Plateau,Plateau,Magic,Grey,Land,na,None,Rare,000000,na,na
0190,Power Leak,Power Leak,Magic,Blue,Enchant,Enchant,None,Common,000011,na,na
0191,Power Sink,Power Sink,Magic,Blue,Interrupt,na,None,Common,00001x,na,na
0192,Power Surge,Power Surge,Magic,Red,Enchant,na,None,Rare,002000,na,na
0193,Prodigal Sorcerer,Prodigal Sorcerer,Magic,Blue,Summon,Sorcerer,None,Common,000012,1,1
0194,Psionic Blast,Psionic Blast,Magic,Blue,Instant,na,None,Uncommon,000012,na,na
0195,Psychic Venom,Psychic Venom,Magic,Blue,Enchant,Land,None,Common,000011,na,na
0196,Purelace,Purelace,Magic,White,Interrupt,na,None,Rare,100000,na,na
0197,Raging River,Raging River,Magic,Red,Enchant,na,None,Rare,002000,na,na
0198,Raise Dead,Raise Dead,Magic,Black,Sorcery,na,None,Common,000100,na,na
0199,Red Elemental Blast ,Red Element Blast ,Magic,Red,Interrupt,na,None,Common,001000,na,na
0200,Red Ward,Red Ward,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0201,Regeneration,Regeneration,Magic,Green,Enchant,Creature,None,Common,010001,na,na
0202,Regrowth,Regrowth,Magic,Green,Sorcery,na,None,Uncommon,010001,na,na
0203,Ressurection,Ressurection,Magic,White,Sorcery,na,None,Uncommon,200002,na,na
0204,Reverse Damage,Reverse Damage,Magic,White,Instant,na,Prevent,Rare,200001,na,na
0205,Righteousness,Righteousness,Magic,White,Instant,na,None,Rare,100000,na,na
0206,Roc of Kher Ridges,Roc of Kher Ridges,Magic,Red,Summon,Roc,None,Rare,001003,3,3
0207,Rock Hydra ,Rock Hydra ,Magic,Red,Summon,Hydra,None,Rare,00200x,0,0
0208,Rod of Ruin,Rod of Ruin,Magic,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0209,Royal Assassin,Royal Assassin,Magic,Black,Summon,Assassin,None,Rare,000201,1,1
0210,Sacrifice,Sacrifice,Magic,Black,Interrupt,na,None,Uncommon,000100,na,na
0211,Samite Healer,Samite Healer,Magic,White,Summon,Cleric,Prevent,Common,100001,1,1
0212,Savannah,Savannah,Magic,Grey,Land,na,None,Rare,000000,na,na
0213,Savannah Lions,Savannah Lions,Magic,White,Summon,Lions,None,Rare,100000,2,1
0214,Scathe Zombies,Scathe Zombies,Magic,Black,Summon,Zombies,None,Common,000102,2,2
0215,Scavenging Ghoul,Scavenging Ghoul,Magic,Black,Summon,Ghoul,None,Uncommon,000103,2,2
0216,Scrubland,Scrubland,Magic,Grey,Land,na,None,Rare,000000,na,na
0217,Scryb Sprites,Scryb Sprites,Magic,Green,Summon ,Faeries,None,Common,010000,1,1
0218,Sea Serpent,Sea Serpent,Magic,Blue,Summon,Serpent,None,Common,000015,5,5
0219,Sedge Troll ,Sedge Troll ,Magic,Red,Summon,Troll,None,Rare,001002,2,2
0220,Sengir Vampire,Sengir Vampire,Magic,Black,Summon,Vampire,None,Uncommon,000203,4,4
0221,Serra Angel,Serra Angel,Magic,White,Summon,Angel,None,Uncommon,200003,4,4
0222,Shanodin Dryads,Shanodin Dryads,Magic,Green,Summon,Nymphs,None,Common,010000,1,1
0223,Shatter ,Shatter ,Magic,Red,Instant,na,None,Common,001001,na,na
0224,Shivan Dragon,Shivan Dragon,Magic,Red,Summon,Dragon,None,Rare,002004,5,5
0225,Simulacrum,Simulacrum,Magic,Black,Instant,na,Redirect,Uncommon,000101,na,na
0226,Sinkhole,Sinkhole,Magic,Black,Sorcery,na,None,Common,000200,na,na
0227,Siren's Call,Siren's Call,Magic,Blue,Instant,na,None,Rare,000010,na,na
0228,Sleight of Mind,Sleight of Mind,Magic,Blue,Interrupt,na,None,Rare,000010,na,na
0229,Smoke,Smoke,Magic,Red,Enchant,na,None,Rare,002000,na,na
0230,Sol Ring,Sol Ring,Magic,Brown,Artifact,Mono,None,Uncommon,000001,na,na
0231,Soul Net,Soul Net,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0232,Spell Blast,Spell Blast,Magic,Blue,Interrupt,na,None,Common,00001x,na,na
0233,Stasis,Stasis,Magic,Blue,Enchant,na,None,Rare,000011,na,na
0234,Steal Artifact,Steal Artifact,Magic,Blue,Enchant,Artifact,None,Rare,000022,na,na
0235,Stone Giant,Stone Giant,Magic ,Red,Summon,Giant,None,Uncommon,002002,3,4
0236,Stone Rain,Stone Rain,Magic,Red,Sorcery,na,None,Common,001002,na,na
0237,Stream of Life ,Stream of Life ,Magic,Green,Sorcery,na,None,Common,01000x,na,na
0238,Sunglasses of Urza,Sunglasses of Urza,Magic,Brown,Artifact,Continuous,None,Rare,000003,na,na
0239,Swamp,Swamp,Magic,Grey,Land,na,None,Common,000000,na,na
0240,Swords to Plowshares,Sword to Plowshare,Magic,White,Instant,na,None,Uncommon,100000,na,na
0241,Taiga,Taiga,Magic,Grey ,Land,na,None,Rare,000000,na,na
0242,Terror,Terror,Magic,Black,Instant,na,None,Common,000101,na,na
0243,The Hive,The Hive,Magic,Brown,Artifact,Mono,None,Rare,000005,na,na
0244,Thicket Basilisk,Thicket Basilisk,Magic,Green,Summon,Basilisk,None,Uncommon,020003,2,4
0245,Thoughtlace,Thoughtlace,Magic,Blue,Interrupt,na,None,Rare,000010,na,na
0246,Throne of Bone,Throne of Bone,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0247,Timber Wolves,Timber Wolves,Magic,Green,Summon,Wolves,None,Rare,010000,1,1
0248,Time Vault,Time Vault,Magic,Brown,Artifact,Mono,None,Rare,000002,na,na
0249,Time Walk,Time Walk,Magic,Blue,Sorcery,na,None,Rare,000011,na,na
0250,Timetwister,Timetwister,Magic,Blue,Sorcery,na,None,Rare,000012,na,na
0251,Tranquility,Tranquility,Magic,Green,Sorcery,na,None,Common,010002,na,na
0252,Tropical Island,Tropical Island,Magic,Grey,Land,na,None,Rare,000000,na,na
0253,Tsunami,Tsunami,Magic,Green,Sorcery,na,None,Rare,010003,na,na
0254,Tundra,Tundra,Magic,Grey,Land,na,None,Rare,000000,na,na
0255,Tunnel,Tunnel,Magic,Red,Instant,na,None,Uncommon,001000,na,na
0256,Twiddle,Twiddle,Magic,Blue,Instant,na,None,Common,000010,na,na
0257,Two Headed Giant of Foriys,Two Headed Giant,Magic,Red,Summon,Giant,None,Rare,001004,4,4
0258,Underground Sea,Underground Sea,Magic,Grey ,Land,na,None,Rare,000000,na,na
0259,Unholy Strength,Unholy Strength,Magic,Black,Enchant,Creature,None,Common,000100,na,na
0260,Unsummon,Unsummon,Magic,Blue,Instant,na,None,Common,000010,na,na
0261,Uthden Troll,Uthden Troll,Magic,Red,Summon,Troll,None,Uncommon,001002,2,2
0262,Veduran Enchantress ,Enchantress ,Magic,Green,Summon,Enchantress,None,Rare,020001,0,2
0263,Vesuvan Doppleganger,Doppleganger,Magic,Blue,Summon,Doppleganger,None,Rare,000023,x,x
0264,Veteran Bodyguard,Veteran Bodyguard,Magic,White,Summon,Bodyguard,None,Rare,200003,2,5
0265,Volcanic Eruption,Volcanic Eruption,Magic,Blue,Sorcery,na,None,Rare,00003x,na,na
0266,Volcanic Island,Volcanic Island,Magic,Grey,Land,na,None,Rare,000000,na,na
0267,Wall of Air,Wall of Air,Magic,Blue,Summon,Wall,None,Rare,000021,1,5
0268,Wall of Bone,Wall of Bone,Magic,Black,Summon,Wall,None,Uncommon,000102,1,4
0269,Wall of Brambles,Wall of Brambles,Magic,Green,Summon,Wall,None,Uncommon,010002,2,3
0270,Wall of Fire,Wall of Fire,Magic,Red,Summon,Wall,None,Rare,002001,0,5
0271,Wall of Ice,Wall of Ice,Magic,Green,Summon,Wall ,None,Uncommon,010002,0,7
0272,Wall of Stone,Wall of Stone,Magic,Red,Summon,Wall,None,Uncommon,002001,0,8
0273,Wall of Swords,Wall of Swords,Magic,White,Summon,Wall,None,Uncommon,100003,3,5
0274,Wall of Water,Wall of Water,Magic,Blue,Summon,Wall,None,Uncommon,000021,0,5
0275,Wall of Wood,Wall of Wood,Magic,Green,Summon,Wall,None,Common,010000,0,3
0276,Wanderlust,Wanderlust,Magic,Green,Enchant,Creature,None,Rare,010002,na,na
0277,War Mammoth,War Mammoth,Magic,Green,Summon,Mammoth,None,Common,010003,3,3
0278,Warp Artifact,Warp Artifact,Magic,Black,Enchant,Artifact,None,Rare,000200,na,na
0279,Water Elemental ,Water Elemental ,Magic,Blue,Summon,Elemental,None,Uncommon,000023,5,4
0280,Weakness ,Weakness ,Magic,Black,Enchant,Creature,None,Common,000100,na,na
0281,Web,Web,Magic,Green,Enchant,Creature,None,Rare,010000,na,na
0282,Wheel of Fortune,Wheel of Fortune,Magic,Red,Sorcery,na,None,Rare,001002,na,na
0283,White Knight,White Knight,Magic,White,Summon,Knight,None,Uncommon,200000,2,2
0284,White Ward,White Ward,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0285,Wild Growth,Wild Growth,Magic,Green,Enchant,Land,None,Common,010000,na,na
0286,Will-O-The-Wisp,Will-O-The-Wisp,Magic,Black,Summon,Wisp,None,Rare,000100,0,1
0287,Winter Orb,Winter Orb,Magic,Brown,Artifact,Continuous,None,Rare,000002,na,na
0288,Wooden Sphere,Wooden Sphere,Magic,Brown,Artifact,Poly,None,Uncommon,000001,na,na
0289,Word of Command,Word of Command,Magic,Black,Instant,na,None,Rare,000200,na,na
0290,Wrath of God,Wrath of God,Magic,White,Sorcery,na,None,Rare,200002,na,na
0291,Zombie Master,Zombie Master,Magic,Black,Summon,Lord,None,Rare,000201,2,3
0292,Amnesia,Amnesia,Dark,Blue,Sorcery,na,None,Uncommon,000033,na,na
0293,Angry Mob,Angry Mob,Dark,White,Summon,Mob,None,Uncommon,200002,2+x,2+x
0294,Ashes to Ashes,Ashes to Ashes,Dark,Black,Sorcery,na,None,Common,000201,na,na
0295,Ball Lightning,Ball Lightning,Dark,Red,Summon,Ball Lightning,None,Rare,003000,6,1
