187 1 32290
404 1 70985
16 2 2722
401 2 70544
132 2 21780
444 1 78069
464 1 81533
425 1 74467
122 1 19971
81 1 13021
71 2 11376
72 1 11621
15 3 2573
898 3 164602
172 2 29092
220 2 38088
151 3 25398
171 3 28860
173 3 29249
179 1 30457
3 1 632
62 2 9595
162 3 27775
410 2 71796
182 1 31287
243 3 41470
90 3 14345
190 1 32669
69 3 10941
256 1 43070
233 3 40409
215 2 36987
226 1 39287
439 2 76929
192 3 33169
192 3 33169
282 3 47694
30 2 4662
80 3 12878
139 2 23005
152 2 25631
152 1 25631
40 3 6686
271 2 45484
153 3 25928
228 3 39646
18 2 3070
503 2 90447
535 2 97894
43 3 7077
250 3 42667
393 2 68741
507 2 91523
398 2 69828
438 2 76776
458 3 80695
459 2 80790
508 3 91760
510 3 92271
528 3 96258
481 3 85422
494 3 88295
547 3 101040
490 3 87474
487 2 86771
466 2 82049
475 3 84192
478 2 84937
483 2 85862
484 3 86088
485 3 86382
486 3 86640
488 3 87007
495 3 88524
500 2 89653
504 3 90708
509 3 92036
511 3 92554
519 3 94362
520 3 94532
527 2 96022
529 3 96476
530 2 96738
533 3 97339
538 3 98751
539 3 99064
540 2 99326
542 3 99947
545 2 100539
546 3 100801
550 2 101633
249 3 42598
248 3 42475
10 3 1607
54 3 8521
417 2 72969
127 3 20897
181 3 30985
44 2 7203
234 3 40529
227 3 39351
265 3 44363
56 3 8751
61 3 9436
92 3 14484
95 3 15212
137 3 22774
147 3 24484
136 3 22589
170 3 28716
400 2 70255
31 3 4923
99 2 15995
140 2 23232
414 2 72463
446 2 78348
408 1 71600
465 2 81748
405 2 71149
411 2 71911
411 2 71911
391 3 68452
392 3 68601
4 1 920
860 3 160573
861 3 160847
862 3 161001
863 3 161181
867 3 161834
869 3 162104
870 3 162156
871 3 162200
893 3 163441
894 3 163642
895 3 163821
897 3 164396
336 1 57715
305 1 52089
376 2 65580
326 1 55923
649 1 120342
679 1 126951
698 3 130489
339 1 58331
719 1 134168
942 1 169127
781 2 144938
782 2 145064
360 2 62596
826 1 153852
382 2 66555
364 1 63308
584 2 108002
852 2 158813
580 2 107200
765 2 142267
662 2 122909
300 3 51116
551 3 101956
383 1 66752
606 1 111707
600 3 110562
293 2 49588
583 2 107827
642 3 119101
563 1 104284
622 3 115190
837 1 155917
295 3 50081
749 2 139465
347 1 60329
306 2 52314
582 2 107732
813 1 150911
628 2 116236
745 2 138813
294 1 49818
321 1 55003
854 2 159299
388 1 67790
318 2 54563
343 3 59398
939 1 168494
346 3 60083
817 3 151820
831 2 154739
575 2 106348
620 3 114829
314 1 53833
935 2 167657
645 1 119589
937 1 168057
661 3 122641
699 2 130696
340 3 58602
371 1 64554
736 1 136902
752 2 140186
768 3 142722
851 2 158653
855 3 159559
304 2 51918
626 1 115964
365 1 63440
756 2 140963
795 1 147323
742 1 138333
303 1 51705
604 2 111249
803 2 148774
710 2 132504
943 3 169401
763 3 141919
810 3 150391
525 3 95620
88 1 14128
58 2 8918
532 2 97125
841 2 156828
479 3 85168
534 3 97609
536 2 98143
191 1 32897
100 3 16076
445 2 78279
1117 2 -1
910 1 165576
885 1 162880
890 1 163197
911 1 165658
912 1 165718
913 1 165776
914 1 165835
915 1 165891
916 1 165945
916 1 165945
916 2 165945
916 1 165945
899 1 164841
900 1 164921
901 1 164996
902 1 165061
903 1 165139
904 1 165207
905 1 165269
906 1 165328
907 1 165395
908 1 165464
909 1 165520
910 1 165576
