csvid,name,vanilla,base_sell_price,implemented_in_shandalar
207,"Rock Hydra",,200,shandalar
208,"Rod of Ruin",,100,shandalar
209,"Royal Assassin",,240,shandalar
210,"Sacrifice",,100,shandalar
211,"Samite Healer",,80,shandalar
212,"Savannah",,200,shandalar
213,"Savannah Lions",vanilla,360,shandalar
214,"Scathe Zombies",vanilla,31,shandalar
215,"Scavenging Ghoul",,100,shandalar
216,"Scrubland",,200,shandalar
217,"Scryb Sprites",vanilla,80,shandalar
218,"Sea Serpent",,68,shandalar
219,"Sedge Troll",,392,shandalar
220,"Sengir Vampire",,100,shandalar
221,"Serra Angel",vanilla,100,shandalar
222,"Shanodin Dryads",vanilla,90,shandalar
223,"Shatter",,140,shandalar
224,"Shivan Dragon",,1232,shandalar
225,"Simulacrum",,100,shandalar
226,"Sinkhole",,100,shandalar
227,"Siren's Call",,100,shandalar
228,"Sleight of Mind",,240,shandalar
229,"Smoke",,200,shandalar
230,"Sol Ring",,100,shandalar
231,"Soul Net",,100,shandalar
232,"Spell Blast",,270,shandalar
233,"Stasis",,200,shandalar
234,"Steal Artifact",,100,shandalar
235,"Stone Giant",,100,shandalar
236,"Stone Rain",,60,shandalar
237,"Stream of Life",,120,shandalar
238,"Sunglasses of Urza",,200,shandalar
239,"Swamp",,40,shandalar
240,"Swords to Plowshares",,100,shandalar
241,"Taiga",,200,shandalar
242,"Terror",,180,shandalar
243,"The Hive",,200,shandalar
244,"Thicket Basilisk",,100,shandalar
245,"Thoughtlace",,200,shandalar
246,"Throne of Bone",,100,shandalar
247,"Timber Wolves",vanilla,480,shandalar
248,"Time Vault",,248,shandalar
249,"Time Walk",,480,shandalar
250,"Timetwister",,400,shandalar
251,"Tranquility",,120,shandalar
252,"Tropical Island",,200,shandalar
253,"Tsunami",,100,shandalar
254,"Tundra",,200,shandalar
255,"Tunnel",,100,shandalar
256,"Twiddle",,80,shandalar
257,"Two-Headed Giant of Foriys",,680,shandalar
258,"Underground Sea",,200,shandalar
259,"Unholy Strength",,100,shandalar
260,"Unsummon",,100,shandalar
261,"Uthden Troll",,100,shandalar
262,"Verduran Enchantress",,200,shandalar
263,"Vesuvan Doppelganger",,200,shandalar
264,"Veteran Bodyguard",,280,shandalar
265,"Volcanic Eruption",,400,shandalar
266,"Volcanic Island",,200,shandalar
267,"Wall of Air",vanilla,100,shandalar
268,"Wall of Bone",,100,shandalar
269,"Wall of Brambles",,100,shandalar
270,"Wall of Fire",,100,shandalar
271,"Wall of Ice",vanilla,100,shandalar
272,"Wall of Stone",vanilla,100,shandalar
273,"Wall of Swords",vanilla,100,shandalar
274,"Wall of Water",,100,shandalar
275,"Wall of Wood",vanilla,45,shandalar
276,"Wanderlust",,100,shandalar
277,"War Mammoth",vanilla,72,shandalar
278,"Warp Artifact",,400,shandalar
279,"Water Elemental",vanilla,100,shandalar
280,"Weakness",,100,shandalar
281,"Web",,200,shandalar
282,"Wheel of Fortune",,400,shandalar
283,"White Knight",vanilla,100,shandalar
284,"White Ward",,100,shandalar
285,"Wild Growth",,75,shandalar
286,"Will-o'-the-Wisp",,628,shandalar
287,"Winter Orb",,332,shandalar
288,"Wooden Sphere",,100,shandalar
290,"Wrath of God",,560,shandalar
291,"Zombie Master",,224,shandalar
292,"Amnesia",,100,shandalar
293,"Angry Mob",,100,shandalar
294,"Ashes to Ashes",,60,shandalar
295,"Ball Lightning",,492,shandalar
296,"Banshee",,100,shandalar
297,"Barl's Cage",,200,shandalar
298,"Dark Heart of the Wood",,200,shandalar
299,"Blood Moon",,700,shandalar
300,"Apprentice Wizard",,200,shandalar
301,"Blood of the Martyr",,100,
302,"Bone Flute",,100,shandalar
303,"Brainwash",,50,shandalar
304,"Brothers of Fire",,100,shandalar
305,"Carnivorous Plant",vanilla,56,shandalar
306,"Cave People",,100,shandalar
307,"City of Shadows",,200,
308,"Coal Golem",,100,shandalar
309,"Dance of Many",,600,shandalar
311,"Dust to Dust",,60,shandalar
312,"Eater of the Dead",,100,shandalar
313,"Elves of Deep Shadow",,100,shandalar
314,"Erosion",,100,shandalar
315,"Eternal Flame",,480,shandalar
316,"Exorcist",,320,shandalar
317,"Fasting",,100,
318,"Fellwar Stone",,100,shandalar
319,"Fire and Brimstone",,100,
320,"Fire Drake",,100,shandalar
321,"Fissure",,260,shandalar
322,"Scarwood Hag",,100,shandalar
323,"People of the Woods",,100,shandalar
324,"Fountain of Youth",,100,shandalar
325,"Frankenstein's Monster",,200,
326,"Ghost Ship",,141,shandalar
327,"Giant Shark",,52,
328,"Spitting Slug",,100,
329,"Goblin Caves",,125,
330,"Goblin Hero",vanilla,31,shandalar
331,"Goblin Wizard",,200,
332,"Goblins of the Flarg",,90,shandalar
333,"Grave Robbers",,200,shandalar
334,"Gaea's Touch",,250,
335,"Hidden Path",,900,shandalar
336,"Bog Imp",vanilla,40,shandalar
337,"Inferno",,1360,shandalar
338,"Knights of Thorn",vanilla,268,shandalar
339,"Land Leeches",vanilla,46,shandalar
340,"Leviathan",,760,shandalar
341,"Living Armor",,100,
342,"Lurker",,224,
343,"Mana Clash",,200,shandalar
344,"Mana Vortex",,700,
345,"Martyr's Cry",,200,shandalar
346,"Mind Bomb",,200,shandalar
347,"Morale",,160,shandalar
348,"Necropolis",,100,
349,"Orc General",,100,
350,"Bog Rats",,90,shandalar
351,"Preacher",,300,
352,"Psychic Allergy",,1200,
353,"Book of Rass",,100,shandalar
354,"Reflecting Mirror",,100,
355,"Riptide",,80,shandalar
356,"Runesword",,100,
357,"Safe Haven",,200,
358,"Scarecrow",,100,
359,"Season of the Witch",,400,
360,"Sisters of the Flame",,100,shandalar
361,"Skull of Orm",,100,shandalar
362,"Standing Stones",,100,
363,"Stone Calendar",,200,
364,"Sunken City",,75,shandalar
365,"Marsh Gas",,100,shandalar
366,"Marsh Goblins",vanilla,40,shandalar
367,"Cleansing",,320,
368,"Tormod's Crypt",,100,shandalar
369,"Dark Sphere",,100,
370,"Drowned",,60,shandalar
371,"Murk Dwellers",,37,shandalar
372,"The Fallen",,100,
373,"Niall Silvain",,260,shandalar
374,"Inquisition",,120,shandalar
375,"Holy Light",,160,shandalar
376,"Diabolic Machine",,100,shandalar
377,"Maze of Ith",,100,shandalar
378,"Nameless Race",,200,
379,"Tower of Coireall",,100,
380,"Tracker",,336,shandalar
382,"Uncle Istvan",,100,shandalar
383,"Venom",,100,shandalar
384,"Wand of Ith",,100,
385,"War Barge",,100,shandalar
386,"Whippoorwill",,100,
387,"Witch Hunter",,240,shandalar
388,"Word of Binding",,100,shandalar
389,"Wormwood Treefolk",,452,shandalar
391,"Abu Ja'far",,100,shandalar
392,"Aladdin",,240,shandalar
393,"Aladdin's Lamp",,200,shandalar
394,"Ali Baba",,100,shandalar
395,"Ali from Cairo",,216,shandalar
396,"Aladdin's Ring",,200,shandalar
397,"Army of Allah",,220,shandalar
398,"Bazaar of Baghdad",,100,shandalar
399,"Bird Maiden",vanilla,37,shandalar
400,"Bottle of Suleiman",,200,shandalar
401,"Camel",,5,shandalar
402,"City in a Bottle",,248,
403,"City of Brass",,100,shandalar
404,"Cuombajj Witches",,60,shandalar
405,"Cyclone",,100,shandalar
406,"Dandân",,90,shandalar
407,"Desert",,40,shandalar
408,"Desert Nomads",,9,shandalar
409,"Desert Twister",,100,shandalar
410,"Diamond Valley",,100,shandalar
411,"Drop of Honey",,1000,shandalar
412,"Ebony Horse",,248,shandalar
413,"El-Hajjâj",,200,shandalar
414,"Elephant Graveyard",,200,shandalar
415,"Erg Raiders",,105,shandalar
416,"Erhnam Djinn",,528,shandalar
417,"Eye for an Eye",,100,shandalar
418,"Fishliver Oil",,75,shandalar
419,"Flying Carpet",,100,shandalar
420,"Flying Men",vanilla,40,shandalar
421,"Ghazbán Ogre",,56,shandalar
422,"Giant Tortoise",,60,shandalar
423,"Guardian Beast",,460,shandalar
424,"Hasran Ogress",,25,shandalar
425,"Hurr Jackal",,90,shandalar
426,"Ifh-Bíff Efreet",,360,shandalar
427,"Island Fish Jasconius",,288,shandalar
428,"Island of Wak-Wak",,200,shandalar
429,"Jandor's Ring",,200,shandalar
430,"Jandor's Saddlebags",,248,shandalar
431,"Jeweled Bird",,100,shandalar
432,"Jihad",,700,shandalar
433,"Junún Efreet",,448,shandalar
434,"Juzám Djinn",,576,shandalar
435,"Khabál Ghoul",,100,shandalar
436,"King Suleiman",,320,shandalar
437,"Kird Ape",,90,shandalar
438,"Library of Alexandria",,100,shandalar
439,"Magnetic Mountain",,100,shandalar
440,"Merchant Ship",,100,shandalar
442,"Mijae Djinn",,492,shandalar
443,"Moorish Cavalry",vanilla,90,shandalar
444,"Nafs Asp",,90,shandalar
445,"Oasis",,100,shandalar
446,"Old Man of the Sea",,492,shandalar
447,"Oubliette",,150,shandalar
448,"Piety",,140,shandalar
449,"Pyramids",,200,shandalar
450,"Repentant Blacksmith",vanilla,200,shandalar
451,"Ring of Ma'rûf",,200,shandalar
452,"Rukh Egg",,81,shandalar
453,"Sandals of Abdallah",,100,shandalar
454,"Sandstorm",,100,shandalar
455,"Serendib Djinn",,648,shandalar
456,"Serendib Efreet",,524,shandalar
458,"Sindbad",,100,shandalar
459,"Singing Tree",,324,shandalar
460,"Sorceress Queen",,100,shandalar
461,"Stone-Throwing Devils",vanilla,60,shandalar
462,"Unstable Mutation",,150,shandalar
463,"War Elephant",vanilla,52,shandalar
464,"Wyluli Wolf",,60,shandalar
465,"Ydwen Efreet",,540,shandalar
466,"Amulet of Kroog",,41,shandalar
467,"Argivian Archaeologist",,300,shandalar
468,"Argivian Blacksmith",,28,shandalar
469,"Argothian Pixies",,90,shandalar
470,"Argothian Treefolk",,80,shandalar
471,"Armageddon Clock",,100,shandalar
472,"Artifact Blast",,80,shandalar
473,"Artifact Ward",,50,shandalar
474,"Ashnod's Altar",,100,shandalar
475,"Ashnod's Battle Gear",,100,shandalar
476,"Ashnod's Transmogrant",,100,shandalar
477,"Atog",,450,shandalar
478,"Battering Ram",,60,shandalar
479,"Bronze Tablet",,200,shandalar
480,"Candelabra of Tawnos",,200,shandalar
481,"Circle of Protection: Artifacts",,100,shandalar
482,"Citanul Druid",,100,shandalar
483,"Clay Statue",,90,shandalar
484,"Clockwork Avian",,244,shandalar
485,"Colossus of Sardia",,540,shandalar
486,"Coral Helm",,200,shandalar
487,"Crumble",,80,shandalar
488,"Cursed Rack",,100,shandalar
489,"Damping Field",,100,shandalar
490,"Detonate",,100,shandalar
491,"Drafna's Restoration",,100,shandalar
492,"Dragon Engine",,202,shandalar
493,"Dwarven Weaponsmith",,100,shandalar
494,"Energy Flux",,100,shandalar
495,"Feldon's Cane",,100,shandalar
496,"Gaea's Avenger",,200,shandalar
497,"Gate to Phyrexia",,100,shandalar
498,"Goblin Artisans",,100,shandalar
499,"Golgothian Sylex",,200,
500,"Grapeshot Catapult",,63,shandalar
501,"Haunting Wind",,100,shandalar
502,"Hurkyl's Recall",,320,shandalar
503,"Ivory Tower",,100,shandalar
504,"Jalum Tome",,100,shandalar
505,"Martyrs of Korlis",,100,shandalar
506,"Mightstone",,100,shandalar
507,"Millstone",,100,shandalar
508,"Mishra's Factory",,200,shandalar
509,"Mishra's War Machine",,448,shandalar
510,"Mishra's Workshop",,200,shandalar
511,"Obelisk of Undoing",,248,shandalar
512,"Onulet",,100,shandalar
513,"Orcish Mechanics",,30,shandalar
514,"Ornithopter",vanilla,75,shandalar
515,"Phyrexian Gremlins",,45,shandalar
516,"Artifact Possession",,125,shandalar
517,"Power Artifact",,100,
518,"Powerleech",,100,shandalar
519,"Primal Clay",,100,shandalar
520,"Rakalite",,100,shandalar
521,"Reconstruction",,20,shandalar
522,"Reverse Polarity",,120,shandalar
523,"Rocket Launcher",,100,shandalar
524,"Sage of Lat-Nam",,25,shandalar
525,"Shapeshifter",,200,shandalar
526,"Shatterstorm",,480,shandalar
527,"Staff of Zegon",,35,shandalar
528,"Strip Mine",,200,shandalar
529,"Su-Chi",,100,shandalar
530,"Tablet of Epityr",,83,shandalar
531,"Tawnos's Coffin",,200,shandalar
532,"Tawnos's Wand",,100,shandalar
533,"Tawnos's Weaponry",,100,shandalar
534,"Tetravus",,200,shandalar
535,"The Rack",,100,shandalar
536,"Titania's Song",,100,shandalar
537,"Transmute Artifact",,100,shandalar
538,"Triskelion",,200,shandalar
539,"Urza's Avenger",,328,shandalar
540,"Urza's Chalice",,83,shandalar
541,"Urza's Mine",,40,shandalar
542,"Urza's Miter",,248,shandalar
543,"Urza's Power Plant",,100,shandalar
544,"Urza's Tower",,100,shandalar
545,"Wall of Spears",vanilla,100,shandalar
546,"Weakstone",,100,shandalar
547,"Xenic Poltergeist",,100,shandalar
548,"Yawgmoth Demon",,748,shandalar
549,"Priest of Yawgmoth",,100,shandalar
550,"Yotian Soldier",vanilla,70,shandalar
551,"Abomination",,100,shandalar
552,"Acid Rain",,560,shandalar
553,"Active Volcano",,80,
554,"Adun Oakenshield",,200,shandalar
556,"Ærathi Berserker",,100,shandalar
557,"Aisling Leprechaun",,60,
558,"Akron Legionnaire",,300,shandalar
559,"Al-abara's Carpet",,200,
560,"Alabaster Potion",,270,shandalar
561,"Alchor's Tomb",,200,shandalar
562,"All Hallow's Eve",,480,
563,"Amrou Kithkin",,40,shandalar
564,"Angelic Voices",,800,shandalar
565,"Angus Mackenzie",,200,shandalar
566,"Anti-Magic Aura",,100,
567,"Arboria",,100,
568,"Arcades Sabboth",,1400,shandalar
569,"Arena of the Ancients",,200,shandalar
570,"Avoid Fate",,100,shandalar
571,"Axelrod Gunnarson",,480,
572,"Ayesha Tanaka",,224,
573,"Azure Drake",vanilla,100,shandalar
574,"Backdraft",,100,
575,"Backfire",,100,shandalar
576,"Barbary Apes",vanilla,25,shandalar
577,"Barktooth Warbeard",vanilla,100,shandalar
578,"Bartel Runeaxe",,444,
579,"Beasts of Bogardan",,100,shandalar
580,"Black Mana Battery",,100,shandalar
581,"Blazing Effigy",,45,
582,"Blight",,100,shandalar
583,"Blood Lust",,100,shandalar
584,"Blue Mana Battery",,100,shandalar
585,"Boomerang",,160,shandalar
586,"Boris Devilboon",,200,shandalar
587,"Brine Hag",,100,
588,"Bronze Horse",,272,
589,"Carrion Ants",,1080,shandalar
590,"Cat Warriors",vanilla,65,shandalar
592,"Caverns of Despair",,500,
593,"Chain Lightning",,100,
594,"Chains of Mephistopheles",,300,
595,"Chromium",,532,shandalar
596,"Cleanse",,560,shandalar
597,"Clergy of the Holy Nimbus",,90,
598,"Cocoon",,100,
599,"Concordant Crossroads",,200,shandalar
600,"Cosmic Horror",,512,shandalar
601,"Craw Giant",,100,shandalar
602,"Crevasse",,100,
603,"Crimson Kobolds",vanilla,20,shandalar
604,"Crimson Manticore",,208,shandalar
605,"Crookshank Kobolds",vanilla,20,shandalar
606,"Cyclopean Mummy",,70,shandalar
607,"D'Avenant Archer",,56,shandalar
608,"Dakkon Blackblade",,200,shandalar
609,"Darkness",,80,shandalar
610,"Deadfall",,100,
611,"Demonic Torment",,100,shandalar
612,"Devouring Deep",vanilla,37,shandalar
613,"Disharmony",,640,shandalar
615,"Divine Offering",,120,shandalar
616,"Divine Transformation",,500,shandalar
617,"Dream Coat",,100,
618,"Durkwood Boars",vanilla,52,shandalar
619,"Dwarven Song",,100,shandalar
620,"Elder Land Wurm",,268,shandalar
621,"Elder Spawn",,368,shandalar
622,"Elven Riders",,300,shandalar
623,"Emerald Dragonfly",,80,shandalar
624,"Enchanted Being",,46,
625,"Enchantment Alteration",,80,
626,"Energy Tap",,20,shandalar
628,"Eternal Warrior",,100,shandalar
629,"Eureka",,560,shandalar
630,"Evil Eye of Orms-by-Gore",,100,shandalar
631,"Fallen Angel",,100,shandalar
632,"Falling Star",,320,
633,"Feint",,80,
634,"Field of Dreams",,200,shandalar
635,"Fire Sprites",,60,shandalar
636,"Firestorm Phoenix",,200,
637,"Flash Counter",,120,shandalar
638,"Flash Flood",,80,
639,"Floral Spuzzem",,100,
640,"Force Spike",,40,shandalar
641,"Forethought Amulet",,200,
642,"Fortified Area",,100,shandalar
643,"Frost Giant",,100,shandalar
644,"Gabriel Angelfire",,200,
645,"Gaseous Form",,100,shandalar
646,"Gauntlets of Chaos",,200,
647,"Ghosts of the Damned",,5,shandalar
648,"Giant Slug",,40,
649,"Giant Strength",,100,shandalar
650,"Giant Turtle",,65,shandalar
651,"Glyph of Delusion",,80,
652,"Glyph of Destruction",,80,
653,"Glyph of Doom",,80,
654,"Glyph of Life",,80,
655,"Glyph of Reincarnation",,80,
656,"Gosta Dirk",,272,
657,"Gravity Sphere",,400,shandalar
658,"Great Defender",,100,shandalar
659,"Great Wall",,100,
660,"Greater Realm of Preservation",,100,shandalar
661,"Greed",,600,shandalar
662,"Green Mana Battery",,100,shandalar
663,"Gwendlyn Di Corci",,384,shandalar
664,"Halfdane",,360,
665,"Hammerheim",,100,
666,"Hazezon Tamar",,200,
667,"Headless Horseman",vanilla,31,shandalar
668,"Heaven's Gate",,100,shandalar
669,"Hell Swarm",,100,shandalar
670,"Hell's Caretaker",,200,shandalar
671,"Hellfire",,560,shandalar
672,"Holy Day",,80,shandalar
673,"Horn of Deafening",,200,shandalar
674,"Hornet Cobra",vanilla,52,shandalar
675,"Horror of Horrors",,100,shandalar
676,"Hunding Gjornersen",,100,shandalar
677,"Hyperion Blacksmith",,100,shandalar
678,"Ichneumon Druid",,100,
679,"Immolation",,75,shandalar
680,"Imprison",,200,
681,"In the Eye of Chaos",,600,shandalar
682,"Indestructible Aura",,80,shandalar
683,"Infernal Medusa",,100,shandalar
684,"Infinite Authority",,400,
685,"Invoke Prejudice",,1000,shandalar
686,"Ivory Guardians",,100,shandalar
687,"Jacques le Vert",,240,shandalar
688,"Jasmine Boreal",vanilla,100,shandalar
689,"Jedit Ojanen",vanilla,100,shandalar
690,"Jerrard of the Closed Fist",vanilla,100,shandalar
691,"Johan",,360,
692,"Jovial Evil",,560,shandalar
693,"Juxtapose",,400,
694,"Karakas",,100,
695,"Kasimir the Lone Wolf",vanilla,100,shandalar
696,"Keepers of the Faith",vanilla,37,shandalar
697,"Kei Takahashi",,208,
698,"Killer Bees",,1888,shandalar
699,"Kismet",,100,shandalar
700,"Knowledge Vault",,200,
701,"Kobold Drill Sergeant",,100,shandalar
702,"Kobold Overlord",,748,shandalar
703,"Kobold Taskmaster",,100,shandalar
704,"Kobolds of Kher Keep",vanilla,20,shandalar
705,"Kry Shield",,100,shandalar
706,"Lady Caleria",,268,shandalar
707,"Lady Evangela",,224,shandalar
708,"Lady Orca",vanilla,100,shandalar
709,"Land Equilibrium",,800,
710,"Land Tax",,100,shandalar
712,"Lesser Werewolf",,100,
713,"Life Chisel",,100,shandalar
714,"Life Matrix",,200,
715,"Lifeblood",,600,shandalar
716,"Living Plane",,500,shandalar
717,"Livonya Silone",,404,
719,"Lost Soul",vanilla,52,shandalar
720,"Mana Drain",,100,shandalar
721,"Mana Matrix",,200,
722,"Marble Priest",,100,
723,"Marhault Elsdragon",,100,shandalar
724,"Master of the Hunt",,208,
725,"Mirror Universe",,200,shandalar
726,"Moat",,800,shandalar
727,"Mold Demon",,436,shandalar
728,"Moss Monster",vanilla,30,shandalar
730,"Mountain Yeti",vanilla,100,shandalar
731,"Nebuchadnezzar",,240,
732,"Nether Void",,700,shandalar
733,"Nicol Bolas",,464,shandalar
734,"North Star",,200,
735,"Nova Pentacle",,200,
736,"Osai Vultures",,540,shandalar
737,"Palladia-Mors",,700,shandalar
738,"Part Water",,100,
739,"Pavel Maliki",,100,shandalar
740,"Pendelhaven",,100,
741,"Petra Sphinx",,348,
742,"Pit Scorpion",,30,shandalar
743,"Pixie Queen",,200,shandalar
744,"Planar Gate",,200,
745,"Pradesh Gypsies",,100,shandalar
746,"Presence of the Master",,100,shandalar
747,"Primordial Ooze",,100,
748,"Princess Lucrezia",,100,shandalar
749,"Psionic Entity",,200,shandalar
750,"Psychic Purge",,40,shandalar
751,"Puppet Master",,100,
752,"Pyrotechnics",,180,shandalar
753,"Quagmire",,100,
754,"Quarum Trench Gnomes",,200,
