ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0017,Black Lotus,Artifact,Christopher Rush,"Adds 3 mana of any single color to pool, lotus is then discarded - Interrupt",
0018,Black Vise,Artifact,Richard Thomas,"At the end of target opponent's upkeep, Black Vise deals that player 1 damage for each card in his or her hand in excess of four.",
0019,Black Ward,Enchant Creature,Dan Frazier,Target creature gains protection from black.  The protection granted by Black Ward does not destroy Black Ward.,
0020,Blaze of Glory,Instant,Richard Thomas,Target defending creature can and must block all attacking creatures it can legally block,
0021,Blessing,Enchant Creature,Julie Baroh,|W: Target creature Blessing enchants gets +1/+1 until end of turn.,
0022,Blue Element Blast,Interrupt,Richard Thomas,Counter target red spell or destroy target red permanent.,
0023,Blue Ward,Enchant Creature,Dan Frazier,Target creature gains protection from blue.  The protection granted by Blue Ward does not destroy Blue Ward.,
0024,Bog Wraith,Summon Wraith,Jeff A. Menges,Swampwalk,Twas in the bogs of Cannelbrae / My mate did meet an early grave  / 'Twas nothing left for us to save / In the peat-filled bogs of Cannelbrae.
0025,Braingeyser,Sorcery,Mark Tedin,Draw x cards or force opponent to draw x cards,
0026,Burrowing,Enchant Creature,Mark Poole,Target creature gains mountainwalk.,
0027,Camouflage,Instant,Jesper Myrfors,Rearrange your attacking creatures and place them face down revealing them only after defense is chosen,
0028,Castle,Enchantment,Dameon Willich,Untapped creatures you control get +0/+2 when not attacking.,
0029,Celestial Prism,Artifact,Amy Weber,"|2 , |T : Add one mana of any color to your mana pool.  Play this ability as an interrupt.",
0030,Channel,Sorcery,Richard Thomas,"Until end of turn, you may add colorless mana to your mana pool at a cost of 1 life per one mana.  Play these additions as interrupts.  Effects that prevent or redirect damage cannot be used to counter this loss of life.",
0031,Chaos Orb,Artifact,Mark Tedin,|1: orb may randomly destroy a number of cards in play
0032,Chaoslace ,Interrupt,Dameon Willich,"Change the color of target spell or target permanent to red.  Costs to cast, tap, maintain, or use a special ability of target remain unchanged."
0033,Black Circle,Enchantment,Jesper Myrfors,"|1: Prevents all damage against you from one black source.  If a source deals damage to you rmore than once in a turn, you may pay |1 each time to prevent the damage."
0034,Blue Circle,Enchantment,Dameon Willich,"|1: Prevent all damage against you from one blue source.  If a source deals damage to you more than once in a turn, you may pay |1 each time to prevent the damage."
0035,Green Circle,Enchantment,Sandra Everingham,"|1: Prevents all damage against you from one green source.  If a source deals damage to you rmore than once in a turn, you may pay |1 each time to prevent the damage."
0036,Red Circle,Enchantment,Mark Tedin,"|1: Prevents all damage against you from one red source.  If a source deals damage to you rmore than once in a turn, you may pay |1 each time to prevent the damage."
0037,White Circle,Enchantment,Douglas Shuler,"|1: Prevents all damage against you from one white source.  If a source deals damage to you rmore than once in a turn, you may pay |1 each time to prevent the damage."
0038,Clockwork Beast,Artifact Creature,Drew Tucker,"When Clockwork Beast comes into play, put seven +1/+0 counters on it.  At the end of any combat in which Clockwork Beast is assigned to attack or block, remove a counter.  |X, |T: Put X +1/+0 counters on Blockwork Beast.  You may have..."
0039,Clone,Summon Clone,Julie Baroh,"Upon summoning, clone acquires all normal characteristics of any one creature in play"
0040,Cockatrice,Summon Cockatrice,Dan Frazier,"Flying, At the end of combat, destroy all non-wall creatures blocking or blocked by Cockatrice."
0041,Consecrate Land,Enchant Land,Jeff A. Menges,"All enchantments on target land are destroyed, no further enchantments can be played on this land while consecrated"
0042,Conservator,Artifact,Amy Weber,"|3, |T: Prevent up to 2 damage to you."
0043,Contract from Below,Sorcery,Douglas Shuler,Discard current hand drawing 8 new cards and add the first card to your ante
0044,Control Magic ,Enchant Creature,Dameon Willich,Gain control of target creature.
0045,Conversion,Enchantment,Jesper Myrfors,"All mountains become basic plains.  During your upkeep, pay |W|W or destroy Conversion."
0046,Copper Tablet,Artifact,Amy Weber,Does 1 damage to each player during his or her upkeep
0047,Copy Artifact,Enchantment,Amy Weber,Acts as a duplicate of any artifact in play,
0048,Counterspell,Interrupt,Mark Poole,Counter target spell.,
0049,Craw Wurm,Summon Wurm,Daniel Gelon,,The most terrifying thing about the Craw Wurm is probably the horrible crashing sound it makes as it speeds through the forest. This noise is so loud it echoes through the trees and seems to come from all directions at once.
0050,Creature Bond,Enchant Creature,Anson Maddocks,"If target creature is put into the graveyard, Creature Bond deals damage equal to the creature's toughness to that creature's controller.",
0051,Crusade,Enchantment,Mark Poole,All white creatures get +1/+1.,
0052,Crystal Rod,Artifact,Amy Weber,|1: Gain 1 life for a successfully cast blue spell.  Use this effect either when the spell is cast or later in the turn but only once for each blue spell cast.,
0053,Cursed Land,Enchant Land,Jesper Myrfors,Cursed Land deals 1 damage to target land's controller during his or her upkeep.,
0054,Cyclopean Tomb,Artifact,Anson Maddocks,"Turn any land into a swamp during upkeep for 2 grey mana, if Tomb is destroyed lands revert 1 per upkeep",
0055,Dark Ritual,Interrupt,Sandra Everingham,Add |B|B|B to your mana pool.,
0056,Darkpact,Sorcery,Quinton Hoover,Swap the top card of your library with either card of the ante,
0057,Death Ward,Instant,Mark Poole,Regenerate target creature.,
0058,Deathgrip,Enchantment,Anson Maddocks,|B|B: Counter target green spell.  Play this ability as an interrupt.,
0059,Deathlace,Interrupt,Sandra Everingham,"Change the color of target spell or target permanent to black.  Costs to cast, tap, maintain, or use a special ability of target remain unchanged.",
0060,Demonic Attorney,Sorcery,Daniel Gelon,Opponent must concede game or each player ante's an additional card immediately,"Created to destroy Dominia, Demons can sometimes be bent to a more focused purpose."
0061,Demonic Hordes,Summon Demon,Jesper Myrfors,"|T: to destroy a land, pay 3 black each turn or Hordes become tapped and you lose land of opponents choice",
0062,Demonic Tutor,Sorcery,Douglas Shuler,"You may search your library for one card and take it into your hand, reshuffling your library afterwards",
0063,Dingus Egg,Artifact,Dan Frazier,"Each time a player puts a land into the graveyard from play, Dingus Egg deals 2 damage to that land's controller.",
0064,Disenchant,Instant,Amy Weber,Destroy target enchantment or artifact.,
0065,Disintegrate,Sorcery,Anson Maddocks,"Disintegrate deals X damage to target creature or player.  The target cannot regenerate until end of turn.  If the target receives lethal damage this turn, remove it from the game entirely.",
0066,Disrupting Sceptre,Artifact,Dan Frazier,"|3, |T: Target player chooses and discards one card from his or her hand.  Use the ability only during your turn.",
0067,Dragon Whelp,Summon Dragon,Amy Weber,"Flying, |R: +1/+0 until end of turn.  If you spend more than |R |R |R in this way during one turn, destroy Dragon Whelp at end of turn.","``O to be a dragon dots of silkworm size or immense dots'' ---Marianne Moore, ``O to Be a Dragon''"
0068,Drain Life,Sorcery,Douglas Shuler,Drain Life deals 1 damage to a target creature or player for each |B you pay in addition to the casting cost.  You then gain 1 life for each 1 damage dealt.  You cannot gain more life than the toughness of the creature or the total life of...,
0069,Drain Power,Sorcery,Douglas Shuler,"Target player must draw all mana from his or her available lands; then, all mana in target player's mana pool drains into your mana pool.",
0070,Drudge Skeletons,Summon Skeletons,Sandra Everingham,|B: Regenerate,"Bones scattered around us joined to form misshapen bodies. We struck at the repeatedly --- they fell, but soon formed again, with the same mocking look on their faceless skulls."
0071,Dwarven Sappers,Summon Dwarves,Kev Brockschmidt,|T: to destroy a wall,"Foolishly, Najib retreated to his castle at El-Abar; the next morning, he was dead. In just one night, the dwarven forces had reduced the mighty walls to mere rubble."
0072,Dwarven Warriors,Summon Dwarves,Douglas Shuler,|T:  Target creature with power no greater than 2 becomes unblockable until end of turn.  Other effects may later be used to increase the creature's power beyond 2.,
0073,Earth Elemental,Summon Elemental,Dan Frazier,,"Earth Elementals have the eternal strength of stone and the endurance of mountains. Primordially connected to the land they inhabit, they take a long-term view of things, scorning the impetuous haste of short-lived mortal creatures."
0074,Earthbind,Enchant Creature,Quinton Hoover,Does 2 damage to target flying creature which loses ability to fly,
0075,Earthquake,Sorcery,Dan Frazier,Earthquake deals X damage to each player and each creature without flying.,
0076,Elvish Archers,Summon Elves,Anson Maddocks,First strike,"I tell you, there was so many arrows flying about you couldn't hardly see the sun. So I says to young Angus, ``Well, at least now we're fighting in the shade!''"
0077,Evil Presence,Enchant Land,Sandra Everingham,Target land becomes a basic swamp.,
0078,False Orders,Instant,Anson Maddocks,You decide whether and how one defending creature blocks,
0079,Farmstead,Enchant Land,Mark Poole,Target land's controller gains 1 life each upkeep if |W |W are spent,
0080,Fastbond,Enchantment,Mark Poole,"Put as many lands as you wish into play each turn,  but take 1 damage for every land above 1 per turn",
0081,Fear ,Enchant Creature,Mark Poole,Target creature cannot be blocked except by black creatures and artifact creatures.,
0082,Feedback,Enchant Enchant,Quinton Hoover,Feedback deals 1 damage to target enchantment's controller during that player's upkeep.,
0083,Fire Elemental ,Summon Elemental,Melissa Benson,,"Fire Elementals are ruthless infernos, annihilating and consuming their foes in a frenzied holocaust. Crackling and blazing, they sear swift, terrible paths, leaving the land charred and scorched in their wake."
0084,Fireball,Sorcery,Mark Tedin,"Fireball deals X damage, divided evenly (round down) among any number of target creatures and/or players.  Pay an additional |1 for each target beyond the first.",
0085,Firebreathing,Enchant Creature,Dan Frazier,|R: Target creature Firebreathing enchants gets +1/+0 until end of turn.,"``And topples round the dreary west / A looming bastion fringed with fire.'' ---Alfred, Lord Tennyson, ``In Memoriam''"
0086,Flashfires,Sorcery,Dameon Willich,Destroy all plains.,
0087,Flight,Enchant Creature,Anson Maddocks,Target creature gains flying.,
0088,Fog,Instant,Jesper Myrfors,No creatures deal damage in combat this turn.,
0089,Force of Nature,Summon Force,Douglas Shuler,"Trample, During your upkeep, pay |G|G|G|G or Force of Nature deals 8 damage to you.",
0090,Forcefield,Artifact,Dan Frazier,Lose only 1 life to an unblocked creature for |1 per creature,
0091,Forest,Land,Christopher Rush, ,
0092,Fork,Interrupt,Amy Weber,"Any sorcery or instant spell just cast is doubled, treat fork as exact duplicate of spell except it is red",
0093,Frozen Shade,Summon Shade,Douglas Shuler,|B: +1/+1 until end of turn,"""There are some qualities, some incorporate things, / That have a double life, which thus is made / A type of twin entity which springs / From matter and light, evinced in solid and shade."" --- Edgar Allen Poe, ""Silence"""
0094,Fungusaur,Summon Fungusaur,Daniel Gelon,"At the end of any turn in which Fungusaur receives damage but does not leave play, put a +1/+1 counter on it.","Rather than sheltering her young, the female Fungusaur often injures her own offspring, thereby ensuring their rapid growth."
0095,Gaea's Liege,Summon Liege,Dameon Willich,"Gaea's Liege has power and toughness each equal to the number of forests you control; when Gaea's Liege attacks, these are instead equal to the number of forests defending player controls. |T: Target land becomes a basic forest...",
0096,Gauntlet of Might,Artifact,Christopher Rush,All red creatures gain +1/+1 and all mountains provide an extra red mana ,
0097,Giant Growth,Instant,Sandra Everingham,Target creature gets +3/+3 until end of turn.,
0098,Giant Spider ,Summon Spider,Sandra Everingham,Can block creatures with flying.,"While it possesses potent venom, the Giant Spider often chooses notto paralyze its victims. Perhaps the creature enjoys the gentle rockingmotion caused by its captives' struggles to escape its web."
0099,Glasses of Urza,Artifact,Douglas Shuler,|T: Look at target player's hand.,
0100,Gloom,Enchantment,Dan Frazier,White spells cost an extra |3 to cast and white enchantments with activation costs such as circles of protection cost an extra |3 to use,
0101,Goblin Balloons,Summon Goblins,Andi Rusu,|R: Flying until end of turn,"``From up here we can drop rocks and arrows and more rocks!''  / ``Uh, yeah boss, but how do we get down?''"
0102,Goblin King,Summon Lord,Jesper Myrfors,All goblins gain mountainwalk and get +1/+1.,"To become king of the Goblins, one must assassinate the previous king. Thus, only the most foolish seek positions of leadership."
0103,Granite Gargoyle,Summon Gargoyle,Christopher Rush,"Gains +1 tough per red mana spent, until end of turn","""While most overworlders fortunately don't realize this, Gargoyles can be most delicious, providing you have the appropriate tools to carve them."" --- The Underworld Cookbook, by Asmoranomardicadaistinaculdacar"
0104,Gray Ogre,Summon Ogre,Dan Frazier,,"The Ogre philosopher Gnerdel believed the purpose of life was to live as high on the food chain as possible. She refused to eat vegetarians, preferring to live entirely on creatures that preyed on sentient beings."
0105,Green Ward,Enchant Creature,Dan Frazier,Target creature gains protection from green.  The protection granted by Green Ward does not destroy Green Ward.,
0106,Grizzly Bears,Summon Bears,Jeff A. Menges,,"Don't try to outrun one of Dominia's Grizzlies; it'll catch you, knock you down, and eat you. Of course, you could run up a tree. In that case, you'll get a nice view before it knocks the tree down and eats you."
0107,Guardian Angel,Instant,Anson Maddocks,"Prevents x damage to any target, further damage may be prevented this turn for |1 each ",
0108,Healing Salve ,Instant,Dan Frazier,"Give target player 3 life, or prevent up to 3 damage to any creature or player.",
0109,Helm of Chatzuk,Artifact,Mark Tedin,"|1, |T:  Target creature gains banding until end of turn.",
0110,Hill Giant,Summon Giant,Dan Frazier,,"Fortunately, Hill Giants have large blind spots in which a human can easily hide. Unfortunately, these blind spots are beneath the bottoms of their feet."
0111,Holy Armor,Enchant Creature,Melissa Benson,Target creature gets +0/+2.    |W: Target creature Holy Armor enchants gets +0/+1 until end of turn.,
0112,Holy Strength,Enchant Creature,Anson Maddocks,Target creature gets +1/+2.,
0113,Howl from Beyond,Instant,Mark Poole,Target creature gets +X/+0 until end of turn.,
0114,Howling Mine,Artifact,Nene Thomas,Each player draws 1 extra card during his/her upkeep,
0115,Hurloon Minotaur,Summon Minotaur,Anson Maddocks,,"The Minotaurs of the Hurloon Mountains are known for their love of battle. They are also known for their hymns to the dead, sung for friend and foe alike. These hymns can last for days, filling the mountain valleys with their low, haunting sounds."
0116,Hurricane,Sorcery,Dameon Willich,Hurricane deals X damage to each player and each creature with flying.,
0117,Hypnotic Spectre,Summon Spectre,Douglas Shuler,"Flying, An opponent damaged by Specter discards a card at random from his or her hand.  Ignore this effect if opponent has no cards in hand.","``... There was no trace / Of aught on that illumined face ...'' ---Samuel Coleridge, ``Phantom''"
0118,Ice Storm,Sorcery,Dan Frazier,Destroys any one land,
0119,Icy Manipulator,Artifact,Douglas Shuler,"For a cost of |1 , controller may tap any land, creature or artifact in play",
0120,Illusionary Mask,Artifact,Amy Weber,"You may summon creatures face down, remaining so until it is used in any way, additional mana may be spent to cast the summons to hide what the creature is ",
0121,Instill Energy,Enchant Creature,Dameon Willich,"Target creature can attack the turn it comes into play on your side. |0 : During your turn, untap target creature Instill Energy enchants.  Use this ability only once each turn.",
0122,Invisibility,Enchant Creature,Anson Maddocks,Target creature can be blocked only by walls,
0123,Iron Star,Artifact,Dan Frazier,|1: Gain 1 life for a successfully cast red spell.  Use this effect either when the spell is cast or later in the turn but only once for each red spell cast.,
0124,Ironclaw Orcs,Summon Orcs,Anson Maddocks,Cannot be assigned to block any creature with power greater than 1.,"Generations of genetic weeding have given rise to the deviously cowardly Ironclaw clan. To say that Orcs in general are vicious, depraved, and ignoble does not do justice to the Ironclaw."
0125,Ironroot Treefolk,Summon Treefolk,Jesper Myrfors,,"The mating habits of Treefolk, particularly the stalwart Ironroot Treefolk, are truly absurd. Molasses comes to mind. It's amazing the species can survive at all given such protracted periods of mate selection, conjugation, and gestation."
0126,Island,Land,Mark Poole,,
0127,Island Sanctuary,Enchantment,Mark Poole,"During your draw phase, you may draw one less card from your library.  If you do so, until the start of your next turn the only creatures that can attack you are those with flying or islandwalk.",
0128,Ivory Cup,Artifact,Anson Maddocks,|1: Gain 1 life for a successfully cast white spell.  Use this effect either when the spell is cast or later in the turn but only once for each white spell cast.,
0129,Jade Monolith,Artifact,Anson Maddocks,|1: Redirect to yourself all damage done to any creature.  The source of the damage does not change.,
0130,Jade Statue,Artifact,Dan Frazier,Becomes a 3/6 creature for |2 during current attack exchange only,"""Some of the other guys dared me to touch it, but I knew it weren't no ordinary hunk o' rock."" --- Norin the Wary"
0131,Jayemdae Tome,Artifact,Mark Tedin,"|4 , |T: Draw one card.",
0132,Juggernaut,Artifact Creature,Dan Frazier,"Must attack each turn if possible, cannot be blocked by walls","We had taked refuge in a small cave, thinking the entrance was too narrow for it to follow. To our horror, its gigantic head smashed into the mountainside, ripping itself a new entrance."
0133,Jump,Instant,Mark Poole,Target creature gains flying until end of turn.,
0134,Karma,Enchantment,Richard Thomas,"During each player's upkeep, Karma deals 1 damage to that player for each swamp he or she controls.",
0135,Keldon Warlord,Summon Lord,Kev Brockschmidt,"Keldon Warlord has power and toughness each equal to the number of non-wall creatures you control, including Warlord.  For example, if you control two other non-wall creatures, Warlord is 3/3.  If one of those creatures leaves play...",
0136,Kormus Bell,Artifact,Christopher Rush,All swamps in play become 1/1 black creatures.  The swamps still count as lands but cannot be tapped for mana the turn they come into play.,
0137,Kudzu,Enchant Land,Mark Poole,"When target land is tapped it is destroyed, kudzu is then placed on another land of the tapping player's choice",
0138,Lance ,Enchant Creature,Rob Alexander,Target creature gains first strike,
0139,Ley Druid,Summon Cleric,Sandra Everingham,|T: Untap target land.  Play this ability as an interrupt.,"After years of training, the Druid becomes one with nature, drawing power from the land and returning it when needed."
0140,Library of Leng,Artifact,Daniel Gelon,"Skip the discard phase of your turn.  If a spell or effect forces you to discard, you may discard to the top of your library rather than to your graveyard.  If the discard is random, you may look at the card before choosing where to discard it.",
0141,Lich,Enchantment,Daniel Gelon,"You lose all life, if you gain life draw a card, you must sacrifice a card in play that you control for each point of damage suffered(***)",
0142,Lifeforce,Enchantment,Dameon Willich,|G|G: Counter target black spell.  Play this ability as an interrupt.,
0143,Lifelace,Interrupt,Amy Weber,"Change the color of target spell or target permanent to green.  Costs to cast, tap, maintain or use a special ability of target remain unchanged.",
0144,Lifetap,Enchantment,Anson Maddocks,Gain 1 life each time a forest controlled by target opponent becomes tapped.,
0145,Lightning Bolt,Instant,Christopher Rush,Lightning Bolt deals 3 damage to target creature or player.,
0146,Living Artifact,Enchant Artifact,Anson Maddocks,"Put a vitality counter on Living Artifact for each damage dealt to you.|0 : During your upkeep, remove a vitality counter to gain 1 life.  Remove only one vitality counter during each of your upkeeps.",
0147,Living Lands,Enchantment,Jesper Myrfors,All forests become 1/1 creatures.  The forests still count as lands but cannot be tapped for mana the turn they come into play.,
0148,Living Wall,Artifact Creature,Anson Maddocks,|1: May regenerate,"Some fiendish mage had created a horrifying wall of living flesh, patched together from a jumble of still-recognizable body parts. As we sought to hew our way through it, some unknown power healed the gaping wounds we cut, denying us passage."
0149,Llanowar Elves,Summon Elves,Anson Maddocks,|T: Add |G to your mana pool.  Play this ability as an interrupt.,"Hardened by their life in the haunted Llanowar Forest, these fierce beings are outcasts among elvenkind."
0150,Lord of Atlantis,Summon Lord,Melissa Benson,All Merfolk gain islandwalk and get +1/+1.,"A master of tactics, the Lord of Atlantis makes his people bold in battle merely by arriving to lead them."
0151,Lord of the Pit,Summon Demon,Mark Tedin,"Flying, trample, During your upkeep, sacrifice a creature.  If you cannot sacrifice a creature, Lord of the Pit deals 7 damage to you.  You cannot sacrifice Lord of the Pit to itself.",
0152,Lure,Enchant Creature,Anson Maddocks,"All creatures able to block target creature must do so.  Lure does not prevent a creature from blocking more than one creature if blocker has that ability.  If blocker is forced to block more creatures than it is allowed to, defender chooses which...",
0153,Magical Hack,Interrupt,Julie Baroh,"Change the text of target spell or target permanent by replacing all occurrences of one basic land type with another.  For example, you may change ""swampwalk"" to ""plainswalk"".",
0154,Mahamoti Djinn,Summon Djinn,Dan Frazier,Flying,"Of royal blood among the spirits of the air, the Mahamoti Djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection."
0155,Mana Flare,Enchantment,Christopher Rush,"Whenever a player taps a land for mana, it produces one additional mana of the same type.",
0156,Mana Short,Instant,Dameon Willich,Mana Short empties target player's mana pool and taps that player's lands.,
0157,Mana Vault,Artifact,Mark Tedin,"Mana Vault does not untap during your untap phase.  If it remains tapped during your upkeep, Mana Vault deals 1 damage to you.  |4: Untap Mana Vault.  Use this ability only during your upkeep.  |T: Add |3 to your...",
0158,Manabarbs,Enchantment,Christopher Rush,"Each time any land is tapped for mana, Manabarbs deals 1 damage to that land's controller.",
0159,Meekstone,Artifact,Quinton Hoover,No creatures with power greater than 2 untap during their controller's untap phase.,
0160,Merfolk,Summon Merfolk,Jeff A. Menges,,"Most human scholars believe that Merfolk are the survivors of sunken Atlantis, humans adapted to the water. Merfolk, however, believe that humans sprang forth from Merfolk who adapted themselves in order to explore their last frontier."
0161,Mesa Pegasus,Summon Pegasus,Melissa Benson,"Flying, banding","Before a woman marries in the village of Sursi, she must visit the land of the Mesa Pegasus. Legend has it that if the woman is pure of heart and her love is true, a Mesa Pegasus will appear, blessing her family with long life and good fortune."
0162,Mind Twist,Sorcery,Julie Baroh,"Target player discards X cards at random from his or her hand.  If that player does not have enough cards, his or her entire hand is discarded.",
0163,Goblin Raiders,Summon Goblins,Jeff A. Menges,,"The intricate dynamics of Rundvelt Goblin affairs are often confused with anarchy. The chaos, however, is the chaos of a thundercloud, and direction will sporadically and violently appear. Pashalik Mons and his Raiders are the thunderhead that leads in th"
0164,Mountain,Land,Douglas Shuler,,
0165,Mox Emerald,Artifact,Dan Frazier,|T: to add 1 green mana to pool - Interrupt,
0166,Mox Jet,Artifact,Dan Frazier,|T: to add 1 black mana to pool - Interrupt,
0167,Mox Pearl,Artifact,Dan Frazier,|T: to add 1 white mana to pool - Interrupt,
0168,Mox Ruby ,Artifact,Dan Frazier,|T: to add 1 red mana to pool - Interrupt,
0169,Mox Sapphire,Artifact,Dan Frazier,|T: to add 1 blue mana to pool - Interrupt,
0170,Natural Selection,Instant,Mark Poole,"Look at top 3 cards of any player's library, you may rearrange those cards or shuffle the library",
0171,Nether Shadow,Summon Shadow,Christopher Rush,"At the end of your upkeep, if Shadow is in your graveyard with at least three creature cards above it, you may return it to play.  Shadow can attack the turn it comes into play.",
0172,Nettling Imp,Summon Imp,Quinton Hoover,"|T: during opponents turn to force a target creature to attack, if it cannot it is destroyed at end of turn ",
0173,Nevinyrral's Disk,Artifact,Mark Tedin,"Comes into play tapped.  |1, |T: Destroy all creatures, enchantments, and artifacts, including Nevinyrral's Disk itself.",
0174,Nightmare,Summon Nightmare,Melissa Benson,"Flying,  Nightmare has power and toughness each equal to the number of swamps its controller controls.","The Nightmare arises from its lair in the swamps. As the poisoned land spreads, so does the Nightmare's rage and terrifying strength."
0175,Northern Paladin,Summon Paladin,Douglas Shuler,"|W|W, |T: Destroy target black permanent.",``Look to the north; there you will find aid and comfort.'' ---The Book of Tal
0176,Obsianus Golem,Artifact Creature,Jesper Myrfors,,"``The foot stone is connected to the ankle stone, the ankle stone is connected to the leg stone ... “ ---Song of the Artificer"
0177,Orcish Artillery,Summon Orcs,Anson Maddocks,|T: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.,"In a rare display of ingenuity, the Orcs invented an incredibly destructive weapon. Most Orcish artillerists are those who dared criticize its effectiveness."
0178,Orcish Oriflamme,Enchantment,Dan Frazier,All attacking creatures you control get +1/+0.,
0179,Paralyze,Enchant Creature,Anson Maddocks,Target creature does not untap during its controller's untap phase.  That player may pay an additional  |4 during his or her upkeep to untap it.  |T: target creature when Paralyze comes into play.,
0180,Pearled Unicorn,Summon Unicorn,Cornelius Brudi,," ‘Do you know, I always thought Unicorns were fabulous monsters, too? I never saw one alive before!' `Well, now that we have seen each other,' said the Unicorn, `if you'll believe in me, I'll believe in you.’  ---Lewis Carroll"
0181,Personal Avatar,Summon Avatar,Kev Brockschmidt,"Owner may redirect any or all damage done to Personal Incarnation to self instead.  If Personal Incarnation is put into the graveyard from play, owner loses of his or her remaining life, rounding up the loss.  Effects that redirect or prevent...",
0182,Pestilence,Enchantment,Jesper Myrfors,"At the end of any turn, if there are no creatures in play, bury Pestilence.    |B: Pestilence deals 1 damage to all creatures and players.",
0183,Phantasmal Forces,Summon Phantasm,Mark Poole,"Flying  During your upkeep, pay |U or destroy Phantasmal Forces","These beings embody the essence of true heroes long dead. Summoned from the dreamrealms, they rise to meet their enemies."
0184,Phantasmal Terrain,Enchant Land,Dameon Willich,Target land becomes any basic land type of your choice.,
0185,Phantom Monster,Summon Phantasm,Jesper Myrfors,Flying,"``While, like a ghastly rapid river, /  Through the pale door,  / A hideous throng rush out forever, / And laugh---but smile no more.''  ---Edgar Allan Poe, ``The Haunted Palace''"
0186,Pirate Ship,Summon Ship,Tom Wanerstrand,"Cannot attack if defending player controls no islands.  If at any time you control no islands, bury Pirate Ship.  |T: Pirate Ship deals 1 damage to target creature or player.",
0187,Plague Rats,Summon Rats,Anson Maddocks,"Plague Rats has power and toughness each equal to the number of Plague Rats in play, no matter who controls them.  For example, if there are two Plague Rats in play, each has power and toughness 2/2.","During the dark times, the rats seemed to grow ever stronger."
0188,Plains,Land,Jesper Myrfors,,
0189,Plateau,Land,Drew Tucker,,
0190,Power Leak,Enchant Enchant,Drew Tucker,"During the upkeep of target enchantment's controller, Power Leak deals 2 damage to him or her.  That player may pay |1 for each damage he or she wishes to prevent from Power Leak.",
0191,Power Sink,Interrupt,Richard Thomas,Counters a target spell if its caster does not pay  mana{X}.  Target spell's caster must draw and pay all available mana from lands and mana pool until  mana{X} is paid; he or she may also pay mana from other sources if desired.,
0192,Power Surge,Enchantment,Douglas Shuler,"During each player's upkeep, Power Surge deals that player 1 damage for each land he or she controls that was untapped at the beginning of the turn, before the untap phase.",
0193,Prodigal Sorcerer,Summon Sorcerer,Douglas Shuler,|T: Prodigal Sorcerer deals 1 damage to target creature or player.,Occasionally a member of the Institute of Arcane Study acquires a taste for worldly pleasures. Seldom do they have trouble finding employment.
0194,Psionic Blast,Instant,Douglas Shuler,"Does 4 damage to any target, but also does 2 damage to caster",
0195,Psychic Venom,Enchant Land,Brian Snoddy,"Whenever target land becomes tapped, Psychic Venom deals 2 damage to that land's controller.",
