Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
42,Consecrate Land,0041,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
43,Conservator,0042,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
44,Contract from Below,0043,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
45,Control Magic,0044,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,5,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
46,Conversion,0045,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,1,-,-,-,00010,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
47,Copper Tablet,0046,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
48,Copy Artifact,0047,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
49,Counterspell,0048,Yes,,,,Unlimited,U,U,U,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
50,Craw Wurm,0049,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,6,4,-,-,-,-,-,-,-,-,-
51,Creature Bond,0050,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
52,Crusade,0051,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,1,-,10000,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
53,Crystal Rod,0052,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,01000,01000,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-20,-,-,-,-,-,-,-,-,-,-,-
54,Cursed Land,0053,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,120,-,-,-,-,-,-,-,-,-,-,-
55,Cyclopean Tomb,0054,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
56,Dark Ritual,0055,Yes,,,,Unlimited,C,C,C,C,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,-,-,-,-,-,-,-,-,-,-,-
57,Darkpact,0056,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
58,Death Ward,0057,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
59,Deathgrip,0058,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
60,Deathlace,0059,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
61,Demonic Attorney,0060,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
62,Demonic Hordes,0061,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-,-,-,-
63,Demonic Tutor,0062,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
64,Dingus Egg,0063,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
65,Disenchant,0064,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
66,Disintegrate,0065,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
67,Disrupting Scepter,0066,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
68,Dragon Whelp,0067,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,3,1,-,1,1,-,-,-,-,-
69,Drain Life,0068,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
70,Drain Power,0069,Yes,,,,Unlimited,R,R,R,R,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
71,Drudge Skeletons,0070,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
72,Dwarven Demolition Team,0071,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
73,Dwarven Warriors,0072,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
74,Earth Elemental,0073,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,5,-,-,-,-,-,-,-,-,-
75,Earthbind,0074,No,,,,Unlimited,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,-,-,-,-,-
76,Earthquake,0075,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,4,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
77,Elvish Archers,0076,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,1,-,-
78,Evil Presence,0077,Yes,,,,Unlimited,3E,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
79,False Orders,0078,No,,,,Unlimited,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
80,Farmstead,0079,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
81,Fastbond,0080,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
82,Fear,0081,Yes,,,,Unlimited,3E,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
83,Feedback,0082,Yes,,,,Unlimited,3E,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
84,Fire Elemental,0083,No,,,,Unlimited,3E,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,4,-,-,-,-,-,-,-,-,-
85,Fireball,0084,Yes,,,,Unlimited,3E,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
86,Firebreathing,0085,Yes,,,,Unlimited,3E  ,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,1,-,1,-,-,-,-,-,-
87,Flashfires,0086,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,1,-,-,-,10000,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
88,Flight,0087,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-50,-,-,-,-,-,2,-,-,-,-,-
89,Fog,0088,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
90,Force of Nature,0089,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,8,8,-,-,-,-,-,1,-,-,-
91,Forcefield,0090,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
92,Forest,0091,Yes,,,,Unlimited,L8,L8,L8,L,-,-,-,-,-,1,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-65,-,-,-,-,-,-,-,-,-,-,-
93,Fork,0092,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
94,Frozen Shade,0093,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,1,1,1,-,-,-,-,-,-
95,Fungusaur,0094,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,0,2,2,1,1,1,-,-,-,-,-,-
96,Gaea's Liege,0095,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,00001,00001,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,50,3,3,-,-,-,-,-,-,-,-,-
