Sort order;Name (will be cut down);Full Card Name in CSV (must be exactly the same);Type: Effect;Type: Artifact;Type: Interrupt;Type: Instant;Type: Sorcery;Type: Enchantment;Type: Creature;Type: Land;Family;Color Unused;Color ArtMana;Color White;Color Red;Color Green;Color Blue;Color Black;Color Colorless;Required Colorless Mana (total);Required COLOR Mana (total);cc[2];Power;Toughness;Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Modifies Produced Mana;Modifies Casting Cost;Unused;Code Address;Ability: Unknown;Ability: Double Strike;Ability: Infect;Ability: Temp Color Changed (not used in this struct);Ability: Temp Ability Added (not used in this struct);Ability: Temp Power Changed (not used in this struct);Ability: Temp Toughness Changed (not used in this struct);Ability: Temp Transformed (not used in this struct);Ability: Defender;Ability: Prot from Lands;Ability: Banding when Attacking;Ability: Prot from Sorceries;Ability: Changeling;Ability: Prot from Instants;Ability: Shroud;Ability: Prot from Artifacts;Ability: Prot from White;Ability: Prot from Red;Ability: Prot from Green;Ability: Prot from Blue;Ability: Prot from Black;Ability: Reach;Ability: Regeneration;Ability: First Strike;Ability: Trample;Ability: Banding;Ability: Flying;Ability: Plainswalk;Ability: Mountainswalk;Ability: Forestwalk;Ability: Islandwalk;Ability: Swampwalk;Flags: Ability Cost;Flags: Play Cost;Flags: Unknown (unused);Flags: Special Code When Controlled;Flags: Fellwar Stone;Flags: Declare Attack;Flags: Before Combat;Flags: Force Attack;Flags: Paid Block;Flags: Paid Attack;Flags: Lich;Flags: Select Block;Flags: Select Attack;Flags: Martyr;Flags: Act Use X;Flags: Paid Mana Source;Flags: Became Creature;Flags: Activated Counterspell;Flags: Interrupt;Flags: Mana Source;Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Some AI DrawCard stuff);Flags: Counters;Flags: Inflatable Toughness;Flags: Inflatable Power;Flags: Protect;Flags: Activate Interrupt;Flags: Activate;Rarity (copied);Activate after Combat;Activate after Blockers;Activate before Blockers;Activate before Combat;Play after Combat;Play after Blockers;Play before Blockers;Play before Combat;Expansion (copied);Creature Rating Mod
10000;Tundra;Tundra;0;0;0;0;0;0;0;1;12;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Undergd.Sea;Underground Sea;0;0;0;0;0;0;0;1;12;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Volcanic Island;Volcanic Island;0;0;0;0;0;0;0;1;12;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;* Archenemy;* Archenemy;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x2003C52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
10000;* Draft;* Draft;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015DD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
10000;* Elder Dragon Highlander;* Elder Dragon Highlander;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20024B0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
10000;* Planechase;* Planechase;1;0;0;0;0;0;0;0;-1;0;0;1;1;1;1;1;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x2003D15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
10000;* Random Singleton;* Random Singleton;1;0;0;0;0;0;0;0;-1;0;0;1;1;1;1;1;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200447C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10000;* SPAT;* SPAT;1;0;0;0;0;0;0;0;-1;0;0;1;1;1;1;1;0;99;5;3;0;0;0;0;0;0;0;0;0;0;0;0x2001772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10000;** AVATAR - Akroma;** AVATAR - Akroma;1;0;0;0;0;1;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200158D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Chaos Orb;** AVATAR - Chaos Orb;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015D8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Chaos Orb Lite;** AVATAR - Chaos Orb Lite;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015E2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Elvish Champion;** AVATAR - Elvish Champion;1;0;0;0;0;1;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x2001579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Erhnam Djinn;** AVATAR - Erhnam Djinn;1;0;0;0;0;1;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x2001592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Goblin Warchief;** AVATAR - Goblin Warchief;1;0;0;0;0;1;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x2001597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Heartwood Storyteller;** AVATAR - Heartwood Storyteller;1;0;0;0;0;0;0;0;-1;0;0;0;0;1;0;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200159C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Mirri the Cursed;** AVATAR - Mirri the Cursed;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015A1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Momir Vig;** AVATAR - Momir Vig;1;0;0;0;0;0;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200124A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Nekrataal;** AVATAR - Nekrataal;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015A6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Oni of Wild Places;** AVATAR - Oni of Wild Places;1;0;0;0;0;1;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200157E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1
10000;** AVATAR - Prodigal Sorcerer;** AVATAR - Prodigal Sorcerer;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015BF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Reaper King;** AVATAR - Reaper King;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015BA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Royal Assassin;** AVATAR - Royal Assassin;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015AB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** AVATAR - Serra Angel;** AVATAR - Serra Angel;1;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20015B0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
10000;** CONSPIRACY – Brago's Favor;** CONSPIRACY – Brago's Favor;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Double Stroke;** CONSPIRACY – Double Stroke;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c55a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Hidden Agenda;** CONSPIRACY – Hidden Agenda;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
10000;** CONSPIRACY – Immediate Action;** CONSPIRACY – Immediate Action;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c55f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Iterative Analysis;** CONSPIRACY – Iterative Analysis;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Muzzio's Preparations;** CONSPIRACY – Muzzio's Preparations;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Secret Summoning;** CONSPIRACY – Secret Summoning;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c56e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Secrets of Paradise;** CONSPIRACY – Secrets of Paradise;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** CONSPIRACY – Unexpected Potential;** CONSPIRACY – Unexpected Potential;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;1;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x200c578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;** Handicap: 3 Cards;** Handicap: 3 Cards;1;0;0;0;0;0;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20028C0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10000;** Handicap: 4 Cards;** Handicap: 4 Cards;1;0;0;0;0;0;0;0;-1;0;0;0;0;1;1;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;0;0x20028BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
