Win#;Color;MonsterType
606;0;0 NONE
607;0;0 NONE
608;0;0 NONE
609;0;0 NONE
610;0;0 NONE
611;0;0 NONE
612;0;0 NONE
613;0;0 NONE
614;0;0 NONE
615;0;0 NONE
616;0;0 NONE
617;0;0 NONE
618;0;0 NONE
619;0;0 NONE
620;0;0 NONE
621;0;0 NONE
622;0;0 NONE
623;0;0 NONE
624;0;0 NONE
625;0;0 NONE
626;0;0 NONE
627;0;0 NONE
628;0;1 NONE
629;0;0 NONE
630;0;0 NONE
631;0;0 NONE
632;0;0 NONE
633;0;0 NONE
634;0;0 NONE
635;0;0 NONE
636;0;0 NONE
637;0;0 NONE
638;0;0 NONE
639;0;0 NONE
640;0;0 NONE
641;0;0 NONE
642;0;0 NONE
643;0;0 NONE
644;0;0 NONE
645;0;0 NONE
646;0;0 NONE
647;0;0 NONE
648;0;0 NONE
649;0;0 NONE
650;0;0 NONE
651;0;0 NONE
652;0;0 NONE
653;0;0 NONE
654;0;0 NONE
655;0;0 NONE
656;0;0 NONE
657;0;0 NONE
658;0;0 NONE
659;0;0 NONE
660;0;0 NONE
661;0;0 NONE
662;0;0 NONE
663;0;0 NONE
664;0;0 NONE
665;0;0 NONE
666;0;0 NONE
667;0;0 NONE
668;0;0 NONE
669;0;0 NONE
670;0;0 NONE
671;0;0 NONE
672;0;0 NONE
673;0;0 NONE
674;0;0 NONE
675;0;0 NONE
676;0;0 NONE
677;0;0 NONE
678;0;0 NONE
679;0;0 NONE
680;0;0 NONE
681;0;0 NONE
682;0;0 NONE
683;0;0 NONE
684;0;0 NONE
685;0;0 NONE
686;0;0 NONE
687;0;0 NONE
688;0;0 NONE
689;0;0 NONE
690;0;0 NONE
691;0;0 NONE
692;0;0 NONE
693;0;0 NONE
694;0;0 NONE
695;0;0 NONE
696;0;0 NONE
697;0;0 NONE
698;0;0 NONE
699;0;0 NONE
700;0;0 NONE
701;0;0 NONE
702;0;0 NONE
703;0;0 NONE
704;0;0 NONE
705;0;0 NONE
706;0;0 NONE
707;0;0 NONE
708;0;0 NONE
709;0;0 NONE
710;0;0 NONE
711;0;0 NONE
712;0;0 NONE
713;0;0 NONE
714;0;0 NONE
715;0;0 NONE
716;0;0 NONE
717;0;0 NONE
718;0;0 NONE
719;0;0 NONE
720;0;0 NONE
721;0;0 NONE
722;0;0 NONE
723;0;0 NONE
724;0;0 NONE
725;0;0 NONE
726;0;0 NONE
727;0;0 NONE
728;0;0 NONE
729;0;0 NONE
730;0;0 NONE
731;0;0 NONE
732;0;0 NONE
733;0;0 NONE
734;0;0 NONE
735;0;0 NONE
736;0;0 NONE
737;0;0 NONE
738;0;0 NONE
739;0;0 NONE
740;0;0 NONE
741;0;0 NONE
742;0;0 NONE
743;0;0 NONE
744;0;0 NONE
745;0;0 NONE
746;0;0 NONE
747;0;0 NONE
748;0;0 NONE
749;0;0 NONE
750;0;0 NONE
751;0;0 NONE
752;0;0 NONE
753;0;0 NONE
754;0;0 NONE
755;0;0 NONE
756;0;0 NONE
757;0;0 NONE
758;0;0 NONE
759;0;0 NONE
760;0;0 NONE
761;0;0 NONE
762;0;0 NONE
763;0;0 NONE
764;0;0 NONE
765;0;0 NONE
766;0;0 NONE
767;0;0 NONE
768;0;0 NONE
769;0;0 NONE
770;0;0 NONE
771;0;0 NONE
772;0;0 NONE
773;0;0 NONE
774;0;0 NONE
775;0;0 NONE
776;0;0 NONE
777;0;0 NONE
778;0;0 NONE
779;0;0 NONE
780;0;0 NONE
781;0;0 NONE
782;0;0 NONE
783;0;0 NONE
784;0;0 NONE
785;0;0 NONE
786;0;0 NONE
787;0;0 NONE
788;0;0 NONE
789;0;0 NONE
790;0;0 NONE
791;0;0 NONE
792;0;0 NONE
793;0;0 NONE
794;0;0 NONE
795;0;0 NONE
796;0;0 NONE
797;0;0 NONE
798;0;0 NONE
799;0;0 NONE
800;0;0 NONE
801;0;0 NONE
802;0;0 NONE
803;0;0 NONE
804;0;0 NONE
805;0;0 NONE
806;0;0 NONE
807;0;0 NONE
808;0;0 NONE
809;0;0 NONE
810;0;0 NONE
811;0;0 NONE
812;0;0 NONE
813;0;0 NONE
814;0;0 NONE
815;0;0 NONE
816;0;0 NONE
817;0;0 NONE
818;0;0 NONE
819;0;0 NONE
820;0;0 NONE
821;0;0 NONE
822;0;0 NONE
823;0;0 NONE
824;0;0 NONE
825;0;0 NONE
826;0;0 NONE
827;0;0 NONE
828;0;0 NONE
829;0;0 NONE
830;0;0 NONE
831;0;0 NONE
832;0;0 NONE
833;0;0 NONE
834;0;0 NONE
835;0;0 NONE
836;0;0 NONE
837;0;0 NONE
838;0;0 NONE
839;0;0 NONE
840;0;0 NONE
841;0;0 NONE
842;0;0 NONE
843;0;0 NONE
844;0;0 NONE
845;0;0 NONE
846;0;0 NONE
847;0;0 NONE
848;0;0 NONE
849;0;0 NONE
850;0;0 NONE
851;0;0 NONE
852;0;0 NONE
853;0;0 NONE
854;0;0 NONE
855;0;0 NONE
856;0;0 NONE
857;0;0 NONE
858;0;0 NONE
859;0;0 NONE
860;0;0 NONE
861;0;0 NONE
862;0;0 NONE
863;0;0 NONE
864;0;0 NONE
865;0;0 NONE
866;0;0 NONE
867;0;0 NONE
868;0;0 NONE
869;0;0 NONE
870;0;0 NONE
871;0;0 NONE
872;0;0 NONE
873;0;0 NONE
874;0;0 NONE
875;0;0 NONE
876;0;0 NONE
877;0;0 NONE
878;0;0 NONE
879;0;0 NONE
880;0;0 NONE
881;0;0 NONE
882;0;0 NONE
883;0;0 NONE
884;0;0 NONE
885;0;0 NONE
886;0;0 NONE
887;0;0 NONE
888;0;0 NONE
889;0;0 NONE
890;0;0 NONE
891;0;0 NONE
892;0;0 NONE
893;0;0 NONE
894;0;0 NONE
895;0;0 NONE
896;0;0 NONE
897;0;0 NONE
898;0;0 NONE
899;0;0 NONE
900;0;0 NONE
901;0;0 NONE
902;0;0 NONE
903;0;0 NONE
904;0;0 NONE
905;0;0 NONE
906;0;0 NONE
907;0;0 NONE
908;0;0 NONE
909;0;0 NONE
910;0;0 NONE
911;0;0 NONE
912;0;0 NONE
913;0;0 NONE
914;0;0 NONE
915;0;0 NONE
916;0;0 NONE
917;0;0 NONE
918;0;0 NONE
919;0;0 NONE
920;0;0 NONE
921;0;0 NONE
922;0;0 NONE
923;0;0 NONE
924;0;0 NONE
925;0;0 NONE
926;0;0 NONE
927;0;0 NONE
928;0;0 NONE
929;0;0 NONE
930;0;0 NONE
931;0;0 NONE
932;0;0 NONE
933;0;0 NONE
934;0;0 NONE
935;0;0 NONE
936;0;0 NONE
937;0;0 NONE
938;0;0 NONE
939;0;0 NONE
940;0;0 NONE
941;0;0 NONE
942;0;0 NONE
943;0;0 NONE
944;0;0 NONE
945;0;0 NONE
946;0;0 NONE
947;0;0 NONE
948;0;0 NONE
949;0;0 NONE
950;0;0 NONE
951;0;0 NONE
952;0;0 NONE
953;0;0 NONE
954;0;0 NONE
955;0;0 NONE
956;0;0 NONE
957;0;0 NONE
958;0;0 NONE
959;0;0 NONE
960;0;0 NONE
961;0;0 NONE
962;0;0 NONE
963;0;0 NONE
964;0;0 NONE
965;0;0 NONE
966;0;0 NONE
967;0;0 NONE
968;0;0 NONE
969;0;0 NONE
970;0;0 NONE
971;0;0 NONE
972;0;0 NONE
973;0;0 NONE
974;0;0 NONE
975;0;0 NONE
976;0;0 NONE
977;0;0 NONE
978;0;0 NONE
979;0;0 NONE
980;0;0 NONE
981;0;0 NONE
982;0;0 NONE
983;0;0 NONE
984;0;0 NONE
985;0;0 NONE
986;0;0 NONE
987;0;0 NONE
988;0;0 NONE
989;0;0 NONE
990;0;0 NONE
991;0;0 NONE
992;0;0 NONE
993;0;0 NONE
994;0;0 NONE
995;0;0 NONE
996;0;2 NONE
997;0;0 NONE
998;0;0 NONE
999;0;0 NONE
