OC#;CardName;NotInDeck;InDeck#
289;-1 NONE;0;-1
290;-1 NONE;0;-1
291;-1 NONE;0;-1
292;-1 NONE;0;-1
293;-1 NONE;0;-1
294;-1 NONE;0;-1
295;-1 NONE;0;-1
296;-1 NONE;0;-1
297;-1 NONE;0;-1
298;-1 NONE;0;-1
299;-1 NONE;0;-1
300;-1 NONE;0;-1
301;-1 NONE;0;-1
302;-1 NONE;0;-1
303;-1 NONE;0;-1
304;-1 NONE;0;-1
305;-1 NONE;0;-1
306;-1 NONE;0;-1
307;-1 NONE;0;-1
308;-1 NONE;0;-1
309;-1 NONE;0;-1
310;-1 NONE;0;-1
311;-1 NONE;0;-1
312;-1 NONE;0;-1
313;-1 NONE;0;-1
314;-1 NONE;0;-1
315;-1 NONE;0;-1
316;-1 NONE;0;-1
317;-1 NONE;0;-1
318;-1 NONE;0;-1
319;-1 NONE;0;-1
320;-1 NONE;0;-1
321;-1 NONE;0;-1
322;-1 NONE;0;-1
323;-1 NONE;0;-1
324;-1 NONE;0;-1
325;-1 NONE;0;-1
326;-1 NONE;0;-1
327;-1 NONE;0;-1
328;-1 NONE;0;-1
329;-1 NONE;0;-1
330;-1 NONE;0;-1
331;-1 NONE;0;-1
332;-1 NONE;0;-1
333;-1 NONE;0;-1
334;-1 NONE;0;-1
335;-1 NONE;0;-1
336;-1 NONE;0;-1
337;-1 NONE;0;-1
338;-1 NONE;0;-1
339;-1 NONE;0;-1
340;-1 NONE;0;-1
341;-1 NONE;0;-1
342;-1 NONE;0;-1
343;-1 NONE;0;-1
344;-1 NONE;0;-1
345;-1 NONE;0;-1
346;-1 NONE;0;-1
347;-1 NONE;0;-1
348;-1 NONE;0;-1
349;-1 NONE;0;-1
350;-1 NONE;0;-1
351;-1 NONE;0;-1
352;-1 NONE;0;-1
353;-1 NONE;0;-1
354;-1 NONE;0;-1
355;-1 NONE;0;-1
356;-1 NONE;0;-1
357;-1 NONE;0;-1
358;-1 NONE;0;-1
359;-1 NONE;0;-1
360;-1 NONE;0;-1
361;-1 NONE;0;-1
362;-1 NONE;0;-1
363;-1 NONE;0;-1
364;-1 NONE;0;-1
365;-1 NONE;0;-1
366;-1 NONE;0;-1
367;-1 NONE;0;-1
368;-1 NONE;0;-1
369;-1 NONE;0;-1
370;-1 NONE;0;-1
371;-1 NONE;0;-1
372;-1 NONE;0;-1
373;-1 NONE;0;-1
374;-1 NONE;0;-1
375;-1 NONE;0;-1
376;-1 NONE;0;-1
377;-1 NONE;0;-1
378;-1 NONE;0;-1
379;-1 NONE;0;-1
380;-1 NONE;0;-1
381;-1 NONE;0;-1
382;-1 NONE;0;-1
383;-1 NONE;0;-1
384;-1 NONE;0;-1
385;-1 NONE;0;-1
386;-1 NONE;0;-1
387;-1 NONE;0;-1
388;-1 NONE;0;-1
389;-1 NONE;0;-1
390;-1 NONE;0;-1
391;-1 NONE;0;-1
392;-1 NONE;0;-1
393;-1 NONE;0;-1
394;-1 NONE;0;-1
395;-1 NONE;0;-1
396;-1 NONE;0;-1
397;-1 NONE;0;-1
398;-1 NONE;0;-1
399;-1 NONE;0;-1
400;-1 NONE;0;-1
401;-1 NONE;0;-1
402;-1 NONE;0;-1
403;-1 NONE;0;-1
404;-1 NONE;0;-1
405;-1 NONE;0;-1
406;-1 NONE;0;-1
407;-1 NONE;0;-1
408;-1 NONE;0;-1
409;-1 NONE;0;-1
410;-1 NONE;0;-1
411;-1 NONE;0;-1
412;-1 NONE;0;-1
413;-1 NONE;0;-1
414;-1 NONE;0;-1
415;-1 NONE;0;-1
416;-1 NONE;0;-1
417;-1 NONE;0;-1
418;-1 NONE;0;-1
419;-1 NONE;0;-1
420;-1 NONE;0;-1
421;-1 NONE;0;-1
422;-1 NONE;0;-1
423;-1 NONE;0;-1
424;-1 NONE;0;-1
425;-1 NONE;0;-1
426;-1 NONE;0;-1
427;-1 NONE;0;-1
428;-1 NONE;0;-1
429;-1 NONE;0;-1
430;-1 NONE;0;-1
431;-1 NONE;0;-1
432;-1 NONE;0;-1
433;-1 NONE;0;-1
434;-1 NONE;0;-1
435;-1 NONE;0;-1
436;-1 NONE;0;-1
437;-1 NONE;0;-1
438;-1 NONE;0;-1
439;-1 NONE;0;-1
440;-1 NONE;0;-1
441;-1 NONE;0;-1
442;-1 NONE;0;-1
443;-1 NONE;0;-1
444;-1 NONE;0;-1
445;-1 NONE;0;-1
446;-1 NONE;0;-1
447;-1 NONE;0;-1
448;-1 NONE;0;-1
449;-1 NONE;0;-1
450;-1 NONE;0;-1
451;-1 NONE;0;-1
452;-1 NONE;0;-1
453;-1 NONE;0;-1
454;-1 NONE;0;-1
455;-1 NONE;0;-1
456;-1 NONE;0;-1
457;-1 NONE;0;-1
458;-1 NONE;0;-1
459;-1 NONE;0;-1
460;-1 NONE;0;-1
461;-1 NONE;0;-1
462;-1 NONE;0;-1
463;-1 NONE;0;-1
464;-1 NONE;0;-1
465;-1 NONE;0;-1
466;-1 NONE;0;-1
467;-1 NONE;0;-1
468;-1 NONE;0;-1
469;-1 NONE;0;-1
470;-1 NONE;0;-1
471;-1 NONE;0;-1
472;-1 NONE;0;-1
473;-1 NONE;0;-1
474;-1 NONE;0;-1
475;-1 NONE;0;-1
476;-1 NONE;0;-1
477;-1 NONE;0;-1
478;-1 NONE;0;-1
479;-1 NONE;0;-1
480;-1 NONE;0;-1
481;-1 NONE;0;-1
482;-1 NONE;0;-1
483;-1 NONE;0;-1
484;-1 NONE;0;-1
485;-1 NONE;0;-1
486;-1 NONE;0;-1
487;-1 NONE;0;-1
488;-1 NONE;0;-1
489;-1 NONE;0;-1
490;-1 NONE;0;-1
491;-1 NONE;0;-1
492;-1 NONE;0;-1
493;-1 NONE;0;-1
494;-1 NONE;0;-1
495;-1 NONE;0;-1
496;-1 NONE;0;-1
497;-1 NONE;0;-1
498;-1 NONE;0;-1
499;-1 NONE;0;-1
