ID;Full Name;CODED CARD;Name;Expansion;Color;Card Type;DB Card Type 2;Rarity;Req Colorless;Req Black;Req Blue;Req Green;Req Red;Req White;Num Pics;Mod Direct Fire;Mod Land Destructor;Mod Draw Cards;Mod Discard;Mod Gain Life;Mod Damage Prevention;Mod Recycler;Mod Counter Spell;Mod Control;Mod Combat Manipulator;Mod Enchantments;Mod Artifacts;Mod Creature;Mod Creature Generator;Mod Damage Opponent;Mod Library Manipulation;Mod Dummy 1;Mod Dummy 2;Mod Dummy 3;Mod Dummy 4;AI Inc Power;AI Inc Toughness;AI Power;AI Toughness;AI Base Value;Dependent Arifact;Dependent Creature;Dependent Wall;Sleighted Color;VS Black;VS Blue;VS Green;VS Red;VS White;For Black;For Blue;For Green;For Red;For White;Count as Black;Count as Blue;Count as Green;Count as Red;Count as White;VS Black Land;VS Blue Land;VS Green Land;VS Red Land;VS White Land;For Black Land;For Blue Land;For Green Land;For Red Land;For White Land;Count as Black Land;Count as Blue Land;Count as Green Land;Count as Red Land;Count as White Land;AI Flying;AI Banding;AI Trample;AI First Strike;AI Wall;AI Landhome;Exp Rarity;Power;Toughness;Num of DB Abilities;DBA1;DBA2;DBA3;DBA4;DBA5;DBA6;DBA7;DBA8;Mana Source Colors;Inflatable;Hack Color;Hack Mode;Enchant Type OWN;Enchant Type OPP;Subtype;Subtype 2;Type Text;Rules Text;Flavor Text;Damage Text;Effect Title Text;Effect Text;Legacy Title Text;Legacy Text
10;Balance;1;Balance;0800h;8;6;9;2;1;0;0;0;0;1;1;0;5;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;099h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Except the player who controls the fewest lands, each player sacrifices lands until all players control the same number of lands as the player who controls the fewest. Players do the same for creatures and discard cards from their hands the same way.;;;;;;
11;Basalt Monolith;1;Basalt Monolith;0800h;3;1;10;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Artifact;Basalt Monolith doesn't untap during your untap step.\n|3: Untap Basalt Monolith.\n|T: Add |3 to your mana pool. This mana can't be spent on abilities of permanents named Basalt Monolith.;;;;;;
12;Bayou;1;Bayou;0800h;6;5;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;211;211;Land — Swamp Forest;Bayou can be tapped to produce |B or |G.;;;;;;
13;Benalish Hero;1;Benalish Hero;0800h;8;7;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0555h;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;93;211;Creature — Hero;Banding;Benalia has a complex caste system that changes with the lunar year. No matter what the season, the only caste that cannot be attained by either heredity or money is that of the Hero.;;;;;
14;Berserk;1;Berserk;0800h;5;3;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0h;0;0;1;41;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Play Berserk only before the combat damage step.\nTarget creature gains trample and gets +X/+0 until end of turn, where X is its power. At end of turn, destroy that creature if it attacked this turn.;;;PowerUp Effect;Until end of turn, target's power is doubled and it gains trample. If it attacks it is destroyed at end of turn.;;
15;Birds of Paradise;1;Birds of Paradise;0800h;5;7;10;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;90999h;0;1;1;4;0;0;0;0;0;0;0;62;0;0;0;0;0;121;211;Creature — Bird;Flying\n|T: Add one mana of any color to your mana pool.;;;;;;
16;Black Knight;1;Black Knight;0800h;1;7;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0111h;2;2;2;3;14;0;0;0;0;0;0;0;0;0;0;0;0;105;211;Creature — Knight;First strike, protection from |Swhite;"Battle doesn't need a purpose; the battle is its own purpose. You don't ask why a plague spreads or a field burns. Don't ask why I fight.";;;;;
17;Black Lotus;1;Black Lotus;0800h;3;1;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;211;211;Artifact;|T, Sacrifice Black Lotus: Add three mana of any one color to your mana pool.;;;;;;
18;Black Vise;1;Black Vise;0800h;3;1;0;4;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;As Black Vise comes into play, choose an opponent.\nAt the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards greater than four in his or her hand.;;;;;;
19;Black Ward;1;Black Ward;0800h;8;2;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;1;31;0;0;0;0;0;0;0;0;0;0;0;1;2;44;211;Enchant Creature;Enchanted creature has protection from |Sblack. This effect doesn't remove Black Ward.;;;;;;
20;Blaze of Glory;1;Blaze of Glory;0800h;8;3;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Target creature may block any number of creatures this turn. It must block each attacking creature this turn if able.;;;Blaze Effect;Affected creature blocks each attacking creature this turn if able.;;
21;Blessing;1;Blessing;0800h;8;2;12;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;099h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;44;211;Enchant Creature;|W: Enchanted creature gets +1/+1 until end of turn.;;;PowerUp Effect;Target creature gains +|n/+|n until end of turn.;;
22;Blue Elemental Blast;1;Blue Element. Blast;0800h;2;4;3;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;055h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;"Choose one — Counter target |Sred spell; or destroy target |Sred permanent.";;;;;;
23;Blue Ward;1;Blue Ward;0800h;8;2;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;1;2;44;211;Enchant Creature;Enchanted creature has protection from |Sblue. This effect doesn't remove Blue Ward.;;;;;;
24;Bog Wraith;1;Bog Wraith;0800h;1;7;0;4;3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10111h;3;3;1;19;0;0;0;0;0;0;0;0;0;2;1;0;0;206;211;Creature — Wraith;|H2Swampwalk;The bodies of its victims are the only tracks it leaves.;;;;;
25;Braingeyser;1;Braingeyser;0800h;2;6;6;2;40;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Target player draws X cards.;;;;;;
26;Burrowing;1;Burrowing;0800h;7;2;0;4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;1;28;0;0;0;0;0;0;0;0;0;16;1;1;2;44;211;Enchant Creature;Enchanted creature has |H2mountainwalk.;;;;;;
27;Camouflage;0;Camouflage;0800h;5;3;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Play Camouflage only during the declare attackers step.\nThis turn, instead of declaring blockers, the defending player chooses any number of creatures he or she controls and divides them into a number of piles equal to the number of attacking creatures. Assign each pile to a different attacking creature at random, and any creatures in that pile that can block the creature do so. (Piles can be empty);;;;;;
28;Castle;1;Castle;0800h;8;2;0;4;3;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;211;211;Enchantment;Untapped creatures you control get +0/+2.;;;;;;
29;Celestial Prism;1;Celestial Prism;0800h;3;1;10;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;211;211;Artifact;|2, |T: Add one mana of any color to your mana pool.;;;;;;
30;Channel;1;Channel;0800h;5;6;10;4;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Sorcery;Until end of turn, any time you could play a mana ability you may pay 1 life. If you do, add |1 to your mana pool.;;;;;Channel Legacy;Until end of turn, controller may add colorless mana to mana pool at a cost of 1 life per mana.
31;Empty;0;Empty;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;;;;;;;;
32;Chaoslace;1;Chaoslace;0800h;7;4;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;099h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Target spell or permanent becomes |Sred. (Its mana symbols remain unchanged.);;;Lace Effect;The color of target permanent is changed to |C.;;
33;Circle of Protection: Black;1;CoP: Black;0800h;8;2;8;1;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|1: The next time a |Sblack source of your choice would deal damage to you this turn, prevent that damage.;;;;;;
34;Circle of Protection: Blue;1;CoP: Blue;0800h;8;2;8;1;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|1: The next time a |Sblue source of your choice would deal damage to you this turn, prevent that damage.;;;;;;
35;Circle of Protection: Green;1;CoP: Green;0800h;8;2;8;1;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|1: The next time a |Sgreen source of your choice would deal damage to you this turn, prevent that damage.;;;;;;
36;Circle of Protection: Red;1;CoP: Red;0800h;8;2;8;1;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|1: The next time a |Sred source of your choice would deal damage to you this turn, prevent that damage.;;;;;;
37;Circle of Protection: White;1;CoP: White;0800h;8;2;8;1;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|1: The next time a |Swhite source of your choice would deal damage to you this turn, prevent that damage.;;;;;;
38;Clockwork Beast;1;Clockwork Beast;0800h;3;1;0;2;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;Clockwork Beast comes into play with seven +1/+0 counters on it.\nClockwork Beast can't have more than seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this turn, remove a +1/+0 counter from it.\n|X, |T: Put X +1/+0 counters on Clockwork Beast. Play this ability only during your upkeep.;;;;;;
39;Clone;1;Clone;0800h;2;7;0;4;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01h;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;211;Creature — Clone;As Clone comes into play, you may choose a creature in play. If you do, Clone comes into play as a copy of that creature.;;;;;;
40;Cockatrice;1;Cockatrice;0800h;5;7;0;2;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0999h;2;4;2;4;18;0;0;0;0;0;0;0;0;0;0;0;0;43;211;Creature — Cockatrice;Flying\nWhenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.;;;Stoning Effect;Non-Wall creatures blocking or blocked by Cockatrice are destroyed at the end of combat.;;
41;Consecrate Land;1;Consecrate Land;0800h;8;2;0;4;0;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;108;211;Enchant Land;Enchanted land can't be enchanted except by Consecrate Land.\nIf enchanted land would be destroyed, remove all damage from it instead.;;;;;;
42;Conservator;1;Conservator;0800h;3;1;8;4;4;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|3, |T: Prevent the next 2 damage that would be dealt to you this turn.;;;;;;
43;Contract from Below;1;Contract from Below;0800h;1;6;1;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Remove Contract from Below from your deck before playing if you're not playing for ante.\nDiscard your hand, add the top card of your library to the ante, then draw seven cards.;;;;;;
44;Control Magic;1;Control Magic;0800h;2;2;2;4;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;44;211;Enchant Creature;You control enchanted creature.;;;;;;
