Card#;Unknown;Card Name;Card ID;Card Type;Special Type;Color;Colored Cost;Colorless Cost;Unused;Power;Toughness;Unused;Code Reference;Abilities 1;Abilities 2;Abilities 3;Abilites 4;Type 1;Type 2;Type 3;Type 4;Unknown;When to Play;Edition;Unused;Rating
18;0x00;* Planechase;14676;0b10000000;0xFF;0b00111110;0;99;0x03;0;0;0x00;0x02003D15;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b10000001;0b00000000;0x00;0
19;0x00;* Random Singleton;14677;0b10000000;0xFF;0b00111110;0;99;0x03;0;0;0x00;0x0200447C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
20;0x00;* SPAT;14678;0b10000000;0xFF;0b00111110;5;99;0x03;0;0;0x00;0x02001772;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;0
21;0x00;** AVATAR - Akroma;14679;0b10000100;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x0200158D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
22;0x00;** AVATAR - Chaos Orb;14680;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015D8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
23;0x00;** AVATAR - Chaos Orb Lite;14681;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015E2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
24;0x00;** AVATAR - Elvish Champion;14682;0b10000100;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x02001579;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
25;0x00;** AVATAR - Erhnam Djinn;14683;0b10000100;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x02001592;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
26;0x00;** AVATAR - Goblin Warchief;14684;0b10000100;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x02001597;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
27;0x00;** AVATAR - Heartwood Storyteller;14685;0b10000000;0xFF;0b00001000;0;99;0x03;0;0;0x00;0x0200159C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
28;0x00;** AVATAR - Mirri the Cursed;14686;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015A1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
29;0x00;** AVATAR - Momir Vig;14687;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x0200124A;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
30;0x00;** AVATAR - Nekrataal;14688;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015A6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
31;0x00;** AVATAR - Oni of Wild Places;14689;0b10000100;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x0200157E;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
32;0x00;** AVATAR - Prodigal Sorcerer;14690;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015BF;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
33;0x00;** AVATAR - Reaper King;14691;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015BA;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
34;0x00;** AVATAR - Royal Assassin;14692;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015AB;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
35;0x00;** AVATAR - Serra Angel;14693;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015B0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;2
36;0x00;** CONSPIRACY – Brago's Favor;14696;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C555;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b01000000;0b00000000;0b00000000;0b00000000;0x00;0
37;0x00;** CONSPIRACY – Double Stroke;14697;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C55A;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
38;0x00;** CONSPIRACY – Hidden Agenda;14698;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C550;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b01110000;0b00000000;0x00;0
39;0x00;** CONSPIRACY – Immediate Action;14699;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C55F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
40;0x00;** CONSPIRACY – Iterative Analysis;14700;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C564;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
41;0x00;** CONSPIRACY – Muzzio's Preparati;14701;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C569;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
42;0x00;** CONSPIRACY – Secret Summoning;14703;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C56E;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
43;0x00;** CONSPIRACY – Secrets of Paradis;14704;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C573;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
44;0x00;** CONSPIRACY – Unexpected Potenti;14706;0b00000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200C578;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0x00;0
45;0x00;** Handicap: 3 Cards;14708;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028C0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
46;0x00;** Handicap: 4 Cards;14709;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028BB;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
47;0x00;** Handicap: 5 Cards;14710;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028A7;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
48;0x00;** Handicap: 6 Cards;14711;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028AC;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
49;0x00;** Handicap: 7 Cards;14712;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028B1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
50;0x00;** Handicap: 8 Cards;14713;0b10000000;0xFF;0b00001100;0;99;0x03;0;0;0x00;0x020028B6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
51;0x00;*** Academy at Tolaria West;14714;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7DC;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
52;0x00;*** Agyrem;14715;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7E1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000100;0b00000000;0b00010001;0b00000000;0x00;0
53;0x00;*** Bant;14716;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7E6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
54;0x00;*** Cliffside Market;14717;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7EB;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
55;0x00;*** Eloren Wilds;14718;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7F0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00010001;0b00000000;0x00;0
56;0x00;*** Feeding Grounds;14719;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7F5;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00010001;0b00000000;0x00;0
57;0x00;*** Fields of Summer;14720;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7FA;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
58;0x00;*** Goldmeadow;14722;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A7FF;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
59;0x00;*** Grixis;14723;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A804;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
60;0x00;*** Immersturm;14724;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A809;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
61;0x00;*** Isle of Vesuva;14725;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A80E;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
62;0x00;*** Izzet Steam Maze;14726;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A813;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00010001;0b00000000;0x00;0
63;0x00;*** Krosa;14727;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A818;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
64;0x00;*** Lethe Lake;14728;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A81D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
65;0x00;*** Llanowar;14729;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A822;0b00000000;0b00000000;0b00000000;0b00000000;0b00000010;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
66;0x00;*** Minamo;14730;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A890;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
67;0x00;*** Naar Isle;14732;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A827;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
68;0x00;*** Naya;14733;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A82C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
69;0x00;*** Otaria;14734;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A895;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
70;0x00;*** Panopticon;14735;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A831;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
71;0x00;*** Pools of Becoming;14736;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A836;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
72;0x00;*** Raven's Run;14737;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A83B;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
73;0x00;*** Sanctum of Serra;14738;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A840;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
74;0x00;*** Sea of Sand;14739;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A845;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
75;0x00;*** Shiv;14740;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A84A;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b01000001;0b00000000;0x00;0
76;0x00;*** Skybreen;14741;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A84F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00010001;0b00000000;0x00;0
77;0x00;*** Sokenzan;14742;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A854;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
78;0x00;*** Stronghold Furnace;14743;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A859;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
79;0x00;*** The Æther Flues;14744;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A863;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
80;0x00;*** The Eon Fog;14746;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A868;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
81;0x00;*** The Fourth Sphere;14747;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A86D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
82;0x00;*** The Great Forest;14748;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A872;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
83;0x00;*** The Hippodrome;14749;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A877;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
84;0x00;*** The Maelstrom;14750;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A87C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
85;0x00;*** Turri Island;14751;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A881;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00010001;0b00000000;0x00;0
86;0x00;*** Undercity Reaches;14752;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A886;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
87;0x00;*** Velis Vel;14753;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A88B;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
88;0x00;*** Aretopolis;14755;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A89F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
89;0x00;*** Bloodhill Bastion;14757;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8A4;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
90;0x00;*** Edge of Malacol;14758;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8A9;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
91;0x00;*** Furnace Layer;14759;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8AE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
92;0x00;*** Gavony;14760;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8B3;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
93;0x00;*** Grand Ossuary;14762;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8B8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
94;0x00;*** Grove of the Dreampods;14763;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8BD;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
95;0x00;*** Hedron Fields of Agadeem;14764;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8C2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000100;0b00000000;0b00010001;0b00000000;0x00;0
96;0x00;*** Jund;14765;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8C7;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
97;0x00;*** Kessig;14766;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8CC;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
98;0x00;*** Kharasha Foothills;14767;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8D1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
99;0x00;*** Kilnspire District;14768;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8D6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
100;0x00;*** Lair of the Ashen Idol;14769;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8DB;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
101;0x00;*** Mount Keralia;14770;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8E0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
102;0x00;*** Nephalia;14771;0b10000000;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x0200A8E5;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
