Town#;TownType;TownName;MapX;MapY;CityCardClr;CityCardType;Status;Wizard?;Card# 1;Card# 2;Card# 3;Card# 4;Card# 5;Card# 6;Card# 7;Card# 8;Timer1;Timer2;Timer3;Timer4;Timer5;Timer6;Timer7;Timer8;QuestTimer;TradeTimer;NumVisits;TimeLastVisit
44;1;Eloren Village;35;49;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
45;2;Eloren Haven;49;21;0b00010000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
46;1;Eloren Village;9;16;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
47;1;Eloren Village;19;19;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
48;1;Hornwall Village;53;38;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
49;1;Hornwall Village;32;47;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
50;1;Hornwall Village;38;61;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
51;1;Hornwall Village;38;17;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
52;2;Hornwall Tavern;43;50;0b00000000;1;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
53;1;Hornwall Village;51;25;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
54;1;Hornwall Village;32;51;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
55;1;Hornwall Village;49;38;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
56;2;Kraag Spire;17;28;0b00100000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
57;3;Kraag Hall;31;22;0b00000000;2;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
58;2;Kraag Bazaar;17;48;0b01000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
59;2;Kraag Oasis;60;30;0b00000000;3;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
60;2;Kraag Shrine;28;13;0b00000010;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
61;1;Kraag Village;16;31;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
62;1;Kraag Village;26;49;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
63;1;Kraag Village;32;19;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
64;2;Mardrake Tower;31;32;0b00000000;4;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
65;2;Mardrake Keep;46;39;0b00000100;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
66;1;Mardrake Village;44;59;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
67;3;Mardrake Forge;14;43;0b00000000;5;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
68;3;Mardrake Tavern;4;30;0b00001000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
69;3;Mardrake Steading;41;37;0b00000000;1;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
70;1;Mardrake Village;47;35;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
71;2;Mardrake Mill;37;22;0b00010000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
72;2;Nevermoor Spire;10;29;0b00000000;2;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
73;1;Nevermoor Village;29;48;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
74;2;Nevermoor Bazaar;14;35;0b00100000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
75;1;Nevermoor Village;7;28;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
76;2;Nevermoor Shrine;32;10;0b00000000;3;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
77;1;Nevermoor Village;18;37;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
78;1;Nevermoor Village;9;24;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
79;1;Nevermoor Village;17;22;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
80;1;Pyrenian Village;52;34;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
81;2;Pyrenian Keep;23;54;0b01000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
82;1;Pyrenian Village;14;27;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
83;4;Pyrenian Castle;19;33;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
84;2;Pyrenian Tavern;53;29;0b00000000;4;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
85;1;Pyrenian Village;27;30;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
86;2;Pyrenian Temple;23;44;0b00000010;0;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
87;1;Pyrenian Village;23;24;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
88;4;Sahrmal's Castle;42;20;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
89;1;Sahrmal's Village;27;17;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
90;3;Sahrmal's Bazaar;18;15;0b00000000;5;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
91;2;Sahrmal's Oasis;35;15;0b00000100;0;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
92;1;Sahrmal's Village;40;34;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
93;1;Sahrmal's Village;43;44;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
94;2;Sahrmal's Hold;41;60;0b00000000;1;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
95;2;Sahrmal's Sanctum;13;13;0b00001000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
96;1;Shalecliff Village;16;12;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
97;1;Shalecliff Village;46;49;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
98;1;Shalecliff Village;19;45;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
